Week,Class,Group,Condition,VideoFile,video start,video end,Timestamp start,Timestamp end
1,7HS,1,2,,,,10/14/2014 9:55:42,10/14/2014 10:08:32
1,7HS,2,1,,,,10/14/2014 9:57:49,10/14/2014 10:13:08
1,7HS,3,2,,,,10/14/2014 10:24:15,10/14/2014 10:38:21
1,7HS,4,1,20141014_OverheadVideo_Cond1_Group4_Group6.mp4,,,10/14/2014 10:24:09,10/14/2014 10:38:32
1,7HS,5,2,20141014_OverheadVideo_Cond2_Group5.mp4,,,10/14/2014 10:52:23,10/14/2014 11:05:44
1,7HS,6,1,20141014_OverheadVideo_Cond1_Group4_Group6.mp4,,,10/14/2014 10:52:12,10/14/2014 11:09:23
1,7FT,1,2,20141017_OverheadVideo_Group1.mp4,,,10/17/2014 9:09:58,10/17/2014 9:25:07
1,7FT,2,1,20141017_OverheadVideo_Cond1_Group2_4.mp4,,,10/17/2014 9:08:11,10/17/2014 9:24:32
1,7FT,3,2,20141017_OverheadVideo_Group3.mp4,,,10/17/2014 9:36:36,10/17/2014 9:50:02
1,7FT,4,1,20141017_OverheadVideo_Cond1_Group2_4.mp4,,,10/17/2014 9:36:35,10/17/2014 9:52:14
1,7FT,5,2,20141017_OverheadVideo_Group5.mp4,,,10/17/2014 10:05:15,10/17/2014 10:18:10
2,7HS,1,2,20141028_OverheadVideo_Cond2_Group1.mp4,,,10/28/2014 9:45:40,10/28/2014 10:01:55
2,7HS,2,1,20141028_OverheadVideo_Cond1_Group2_4_6.mp4,,,10/28/2014 9:47:01,10/28/2014 10:03:34
2,7HS,3,2,20141028_OverheadVideo_Cond2_Group3.mp4,,,10/28/2014 10:11:02,10/28/2014 10:27:53
2,7HS,4,1,20141028_OverheadVideo_Cond1_Group2_4_6.mp4,,,10/28/2014 10:11:01,10/28/2014 10:27:25
2,7HS,5,2,,,,10/28/2014 10:38:06,10/28/2014 10:50:56
2,7HS,6,1,20141028_OverheadVideo_Cond1_Group2_4_6.mp4,,,10/28/2014 10:38:04,10/28/2014 10:51:47
