Session,Snippet,Subjective.Value,Subject
20141021_Patrick_Session1,1,6,Patrick
20141021_Patrick_Session1,2,6,Patrick
20141021_Patrick_Session1,3,5,Patrick
20141021_Patrick_Session1,4,6,Patrick
20141021_Patrick_Session1,5,4,Patrick
20141021_Patrick_Session1,6,6,Patrick
20141021_Patrick_Session1,7,7,Patrick
20141021_Patrick_Session1,8,4,Patrick
20141021_Patrick_Session1,9,4,Patrick
20141021_Patrick_Session1,10,4,Patrick
20141021_Patrick_Session1,11,4,Patrick
20141021_Patrick_Session1,12,4,Patrick
20141021_Patrick_Session1,13,7,Patrick
20141021_Patrick_Session1,14,4,Patrick
20141021_Patrick_Session1,15,5,Patrick
20141021_Patrick_Session2,16,4,Patrick
20141021_Patrick_Session2,17,6,Patrick
20141021_Patrick_Session2,18,7,Patrick
20141021_Patrick_Session2,19,5,Patrick
20141021_Patrick_Session2,20,5,Patrick
20141021_Patrick_Session2,21,4,Patrick
20141021_Patrick_Session2,22,6,Patrick
20141021_Patrick_Session2,23,4,Patrick
20141021_Patrick_Session2,24,5,Patrick
20141021_Patrick_Session2,25,6,Patrick
20141021_Patrick_Session2,26,6,Patrick
20141021_Patrick_Session2,27,6,Patrick
20141021_Patrick_Session2,28,4,Patrick
20141021_Patrick_Session2,29,4,Patrick
20141021_Patrick_Session2,30,7,Patrick
20141028_Kshitij_Session4,31,3,Kshitij
20141028_Kshitij_Session4,32,2,Kshitij
20141028_Kshitij_Session4,33,2,Kshitij
20141028_Kshitij_Session4,34,3,Kshitij
20141028_Kshitij_Session4,35,3,Kshitij
20141028_Kshitij_Session4,36,2,Kshitij
20141028_Kshitij_Session4,37,4,Kshitij
20141028_Kshitij_Session4,38,6,Kshitij
20141028_Kshitij_Session4,39,6,Kshitij
20141028_Kshitij_Session4,40,3,Kshitij
20141028_Kshitij_Session4,41,3,Kshitij
20141028_Kshitij_Session4,42,7,Kshitij
20141028_Kshitij_Session4,43,3,Kshitij
20141028_Kshitij_Session4,44,3,Kshitij
20141028_Kshitij_Session4,45,7,Kshitij
