Session;Window.Center;Load
20141021_Patrick_Session1;150000;0
20141021_Patrick_Session1;225000;4
20141021_Patrick_Session1;310000;0
20141021_Patrick_Session1;410000;2
20141021_Patrick_Session1;780000;2
20141021_Patrick_Session1;935000;0
20141021_Patrick_Session1;1240000;4
20141021_Patrick_Session1;1320000;2
20141021_Patrick_Session1;1485000;4
20141021_Patrick_Session1;1580000;0
20141021_Patrick_Session1;1675000;4
20141021_Patrick_Session1;1900000;2
20141021_Patrick_Session1;1990000;0
20141021_Patrick_Session1;2145000;4
20141021_Patrick_Session1;2295000;2
20141021_Patrick_Session2;360000;0
20141021_Patrick_Session2;730000;0
20141021_Patrick_Session2;1095000;2
20141021_Patrick_Session2;1120000;4
20141021_Patrick_Session2;1400000;4
20141021_Patrick_Session2;1560000;4
20141021_Patrick_Session2;2250000;2
20141021_Patrick_Session2;2315000;4
20141021_Patrick_Session2;2360000;0
20141021_Patrick_Session2;2510000;4
20141021_Patrick_Session2;2625000;2
20141021_Patrick_Session2;2930000;0
20141021_Patrick_Session2;3250000;2
20141021_Patrick_Session2;3490000;0
20141021_Patrick_Session2;3810000;2
20141028_Kshitij_Session4;430000;0
20141028_Kshitij_Session4;555000;2
20141028_Kshitij_Session4;710000;0
20141028_Kshitij_Session4;815000;4
20141028_Kshitij_Session4;895000;2
20141028_Kshitij_Session4;1040000;0
20141028_Kshitij_Session4;1130000;4
20141028_Kshitij_Session4;1880000;2
20141028_Kshitij_Session4;2185000;4
20141028_Kshitij_Session4;2325000;0
20141028_Kshitij_Session4;2510000;2
20141028_Kshitij_Session4;2605000;0
20141028_Kshitij_Session4;2825000;4
20141028_Kshitij_Session4;3115000;4
20141028_Kshitij_Session4;3195000;2
