"","Session","time","Time.minsec","Description","Focus","Large.Head.Movement","Activity","Social.Plane"
"3","20141021_Patrick_Session1",15000,"0m15s","","","","",""
"14","20141021_Patrick_Session1",70000,"1m10s","","","","",""
"24","20141021_Patrick_Session1",120000,"2m0s","","","","",""
"30","20141021_Patrick_Session1",150000,"2m30s","","","","",""
"35","20141021_Patrick_Session1",175000,"2m55s","","","","",""
"45","20141021_Patrick_Session1",225000,"3m45s","","","","",""
"54","20141021_Patrick_Session1",270000,"4m30s","","","","",""
"57","20141021_Patrick_Session1",285000,"4m45s","","","","",""
"58","20141021_Patrick_Session1",290000,"4m50s","","","","",""
"59","20141021_Patrick_Session1",295000,"4m55s","","","","",""
"62","20141021_Patrick_Session1",310000,"5m10s","","","","",""
"63","20141021_Patrick_Session1",315000,"5m15s","","","","",""
"68","20141021_Patrick_Session1",340000,"5m40s","","","","",""
"87","20141021_Patrick_Session1",435000,"7m15s","","","","",""
"88","20141021_Patrick_Session1",440000,"7m20s","","","","",""
"112","20141021_Patrick_Session1",560000,"9m20s","","","","",""
"126","20141021_Patrick_Session1",630000,"10m30s","","","","",""
"127","20141021_Patrick_Session1",635000,"10m35s","","","","",""
"137","20141021_Patrick_Session1",685000,"11m25s","","","","",""
"148","20141021_Patrick_Session1",740000,"12m20s","","","","",""
"158","20141021_Patrick_Session1",790000,"13m10s","","","","",""
"168","20141021_Patrick_Session1",840000,"14m0s","","","","",""
"169","20141021_Patrick_Session1",845000,"14m5s","","","","",""
"183","20141021_Patrick_Session1",915000,"15m15s","","","","",""
"187","20141021_Patrick_Session1",935000,"15m35s","","","","",""
"188","20141021_Patrick_Session1",940000,"15m40s","","","","",""
"206","20141021_Patrick_Session1",1030000,"17m10s","","","","",""
"215","20141021_Patrick_Session1",1075000,"17m55s","","","","",""
"221","20141021_Patrick_Session1",1105000,"18m25s","","","","",""
"222","20141021_Patrick_Session1",1110000,"18m30s","","","","",""
"224","20141021_Patrick_Session1",1120000,"18m40s","","","","",""
"237","20141021_Patrick_Session1",1185000,"19m45s","","","","",""
"248","20141021_Patrick_Session1",1240000,"20m40s","","","","",""
"258","20141021_Patrick_Session1",1290000,"21m30s","","","","",""
"275","20141021_Patrick_Session1",1375000,"22m55s","","","","",""
"293","20141021_Patrick_Session1",1465000,"24m25s","","","","",""
"297","20141021_Patrick_Session1",1485000,"24m45s","","","","",""
"309","20141021_Patrick_Session1",1545000,"25m45s","","","","",""
"315","20141021_Patrick_Session1",1575000,"26m15s","","","","",""
"316","20141021_Patrick_Session1",1580000,"26m20s","","","","",""
"317","20141021_Patrick_Session1",1585000,"26m25s","","","","",""
"334","20141021_Patrick_Session1",1670000,"27m50s","","","","",""
"335","20141021_Patrick_Session1",1675000,"27m55s","","","","",""
"336","20141021_Patrick_Session1",1680000,"28m0s","","","","",""
"348","20141021_Patrick_Session1",1740000,"29m0s","","","","",""
"349","20141021_Patrick_Session1",1745000,"29m5s","","","","",""
"366","20141021_Patrick_Session1",1830000,"30m30s","","","","",""
"371","20141021_Patrick_Session1",1855000,"30m55s","","","","",""
"385","20141021_Patrick_Session1",1925000,"32m5s","","","","",""
"390","20141021_Patrick_Session1",1950000,"32m30s","","","","",""
"391","20141021_Patrick_Session1",1955000,"32m35s","","","","",""
"398","20141021_Patrick_Session1",1990000,"33m10s","","","","",""
"402","20141021_Patrick_Session1",2010000,"33m30s","","","","",""
"403","20141021_Patrick_Session1",2015000,"33m35s","","","","",""
"405","20141021_Patrick_Session1",2025000,"33m45s","","","","",""
"428","20141021_Patrick_Session1",2140000,"35m40s","","","","",""
"429","20141021_Patrick_Session1",2145000,"35m45s","","","","",""
"438","20141021_Patrick_Session1",2190000,"36m30s","","","","",""
"447","20141021_Patrick_Session1",2235000,"37m15s","","","","",""
