,Session,time,Time.minsec,Description,Focus,Large.Head.Movement,Activity,Social.Plane
3,20141021_Patrick_Session1,15000,0m15s,Explaining experiment,FAC,YES,EXP,CLS
14,20141021_Patrick_Session1,70000,1m10s,marks the sheet,TAB,NO,TDT,IND
24,20141021_Patrick_Session1,120000,2m0s,checking visualisations,TCOMP,NO,MON,CLS
30,20141021_Patrick_Session1,150000,2m30s,gives access to students to pintrest,TCOMP,YES,REP,IND
35,20141021_Patrick_Session1,175000,2m55s,checking pintrest,TCOMP,NO,MON,CLS
45,20141021_Patrick_Session1,225000,3m45s,telling students where to search for visualisation,FAC,YES,TDT,CLS
54,20141021_Patrick_Session1,270000,4m30s,Secrching visualisation,TCOMP,NO,TDT,IND
57,20141021_Patrick_Session1,285000,4m45s,checking a visualisation,TCOMP,NO,TDT,IND
58,20141021_Patrick_Session1,290000,4m50s,checking a visualisation,TCOMP,NO,TDT,IND
59,20141021_Patrick_Session1,295000,4m55s,checking a visualisation,TCOMP,NO,TDT,IND
62,20141021_Patrick_Session1,310000,5m10s,pinning a visualisation,TCOMP,NO,TDT,IND
63,20141021_Patrick_Session1,315000,5m15s,pinning a visualisation,TCOMP,NO,TDT,IND
68,20141021_Patrick_Session1,340000,5m40s,pinning a visualisation,TCOMP,NO,TDT,IND
87,20141021_Patrick_Session1,435000,7m15s,giving access to another student to pintrest,TCOMP,NO,REP,IND
88,20141021_Patrick_Session1,440000,7m20s,giving access to another student to pintrest,TCOMP,NO,REP,IND
112,20141021_Patrick_Session1,560000,9m20s,Checking visualisations,TCOMP,NO,MON,CLS
126,20141021_Patrick_Session1,630000,10m30s,selecting visualisations to discuss,FAC,YES,TDT,CLS
127,20141021_Patrick_Session1,635000,10m35s,selecting visualisations to discuss,FAC,YES,TDT,CLS
137,20141021_Patrick_Session1,685000,11m25s,asking the student about a visualisation,FAC,YES,QUEST,CLS
148,20141021_Patrick_Session1,740000,12m20s,planning to go to next visualisation,FAC,YES,QUEST,CLS
158,20141021_Patrick_Session1,790000,13m10s,Selecting another visualisation to discuss,TCOMP,NO,TDT,CLS
168,20141021_Patrick_Session1,840000,14m0s,talking about a visualisation,WHIT,NO,QUEST,CLS
169,20141021_Patrick_Session1,845000,14m5s,talking about a visualisation,WHIT,NO,QUEST,CLS
183,20141021_Patrick_Session1,915000,15m15s,explaing a visualisation technique,WHIT,YES,EXP,CLS
187,20141021_Patrick_Session1,935000,15m35s,explaing a visualisation technique,FAC,YES,EXP,CLS
188,20141021_Patrick_Session1,940000,15m40s,explaing a visualisation technique,FAC,YES,EXP,CLS
206,20141021_Patrick_Session1,1030000,17m10s,Explaing a visualisation,FAC,YES,EXP,CLS
215,20141021_Patrick_Session1,1075000,17m55s,asking the student about a visualisation,FAC,YES,QUEST,CLS
221,20141021_Patrick_Session1,1105000,18m25s,asking the student about a visualisation,WHIT,NO,QUEST,CLS
222,20141021_Patrick_Session1,1110000,18m30s,asking the student about a visualisation,WHIT,NO,QUEST,CLS
224,20141021_Patrick_Session1,1120000,18m40s,asking the student about a visualisation,WHIT,NO,QUEST,CLS
237,20141021_Patrick_Session1,1185000,19m45s,Checking a visualisation,WHIT,YES,QUEST,CLS
248,20141021_Patrick_Session1,1240000,20m40s,Explaing visualisatino technique,FAC,YES,EXP,CLS
258,20141021_Patrick_Session1,1290000,21m30s,Explaing visualisation,FAC,YES,EXP,CLS
275,20141021_Patrick_Session1,1375000,22m55s,Explaing visualisation,FAC,YES,EXP,CLS
293,20141021_Patrick_Session1,1465000,24m25s,Asking astudent to explain a visualisation,FAC,YES,QUEST,CLS
297,20141021_Patrick_Session1,1485000,24m45s,Asking students a question about visualisation,FAC,YES,QUEST,CLS
309,20141021_Patrick_Session1,1545000,25m45s,Checking visualisation to select a new one,FAC,YES,QUEST,CLS
315,20141021_Patrick_Session1,1575000,26m15s,Checking visualisation to select a new one,TCOMP,NO,TDT,CLS
316,20141021_Patrick_Session1,1580000,26m20s,Checking visualisation to select a new one,TCOMP,NO,TDT,CLS
317,20141021_Patrick_Session1,1585000,26m25s,Checking visualisation to select a new one,TCOMP,NO,TDT,CLS
334,20141021_Patrick_Session1,1670000,27m50s,Explaining a visualisation,WHIT,YES,EXP,CLS
335,20141021_Patrick_Session1,1675000,27m55s,Explaining a visualisation,WHIT,YES,EXP,CLS
336,20141021_Patrick_Session1,1680000,28m0s,Explaining a visualisation,WHIT,YES,EXP,CLS
348,20141021_Patrick_Session1,1740000,29m0s,Explaining a visualisation,FAC,YES,EXP,CLS
349,20141021_Patrick_Session1,1745000,29m5s,Explaining a visualisation,FAC,YES,EXP,CLS
366,20141021_Patrick_Session1,1830000,30m30s,Nan explaining a visualisation,WHIT,YES,EXP,CLS
371,20141021_Patrick_Session1,1855000,30m55s,Explaining visualisation,WHIT,NO,EXP,CLS
385,20141021_Patrick_Session1,1925000,32m5s,selecting next visualisation,TCOMP,NO,TDT,CLS
390,20141021_Patrick_Session1,1950000,32m30s,asking student to explain a visualisation,TCOMP,NO,QUEST,CLS
391,20141021_Patrick_Session1,1955000,32m35s,asking student to explain a visualisation,TCOMP,NO,QUEST,CLS
398,20141021_Patrick_Session1,1990000,33m10s,Student explaing a visualisation,TCOMP,NO,QUEST,CLS
402,20141021_Patrick_Session1,2010000,33m30s,Reading a visualisation,FAC,YES,EXP,CLS
403,20141021_Patrick_Session1,2015000,33m35s,Reading a visualisation,FAC,YES,EXP,CLS
405,20141021_Patrick_Session1,2025000,33m45s,Explaing a visualisation technique,FAC,YES,EXP,CLS
428,20141021_Patrick_Session1,2140000,35m40s,Explaining visualisation techniques,FAC,YES,EXP,CLS
429,20141021_Patrick_Session1,2145000,35m45s,Explaining visualisation techniques,FAC,YES,EXP,CLS
438,20141021_Patrick_Session1,2190000,36m30s,explaining visualisation,TCOMP,YES,EXP,CLS
447,20141021_Patrick_Session1,2235000,37m15s,Planning break,TCOMP,NO,TDT,CLS
