Session,Snippet,Subjective.Value,Subject
20141125_wendy_baseline1,1,2,Wendy
20141125_wendy_baseline1,2,3,Wendy
20141125_wendy_baseline1,3,3,Wendy
20141125_wendy_baseline1,4,4,Wendy
20141125_wendy_baseline1,5,5,Wendy
20141125_wendy_baseline1,6,2,Wendy
20141125_wendy_baseline1,7,3,Wendy
20141125_wendy_baseline1,8,2,Wendy
20141125_wendy_baseline1,9,1,Wendy
20141125_wendy_baseline1,10,1,Wendy
20141125_wendy_baseline1,11,1,Wendy
20141125_wendy_baseline1,12,4,Wendy
20141125_wendy_baseline1,13,4,Wendy
20141125_wendy_baseline1,14,1,Wendy
20141125_wendy_baseline1,15,3,Wendy
20141128_Wendy_baseline2,16,3,Wendy
20141128_Wendy_baseline2,17,3,Wendy
20141128_Wendy_baseline2,18,3,Wendy
20141128_Wendy_baseline2,19,3,Wendy
20141128_Wendy_baseline2,20,3,Wendy
20141128_Wendy_baseline2,21,1,Wendy
20141128_Wendy_baseline2,22,1,Wendy
20141128_Wendy_baseline2,23,1,Wendy
20141128_Wendy_baseline2,24,3,Wendy
20141128_Wendy_baseline2,25,2,Wendy
20141128_Wendy_baseline2,26,3,Wendy
20141128_Wendy_baseline2,27,2,Wendy
20141128_Wendy_baseline2,28,2,Wendy
20141128_Wendy_baseline2,29,2,Wendy
20141128_Wendy_baseline2,30,3,Wendy
