Session,Window.Center,Load,Snippet
20141125_wendy_baseline1,300000,2,1
20141125_wendy_baseline1,425000,0,2
20141125_wendy_baseline1,590000,4,3
20141125_wendy_baseline1,740000,4,4
20141125_wendy_baseline1,1010000,2,5
20141125_wendy_baseline1,1155000,0,6
20141125_wendy_baseline1,1395000,4,7
20141125_wendy_baseline1,1935000,2,8
20141125_wendy_baseline1,2230000,0,9
20141125_wendy_baseline1,2820000,2,10
20141125_wendy_baseline1,2980000,0,11
20141125_wendy_baseline1,3335000,4,12
20141125_wendy_baseline1,3615000,4,13
20141125_wendy_baseline1,3795000,2,14
20141125_wendy_baseline1,4020000,0,15
20141128_Wendy_baseline2,335000,0,16
20141128_Wendy_baseline2,815000,2,17
20141128_Wendy_baseline2,885000,4,18
20141128_Wendy_baseline2,1350000,4,19
20141128_Wendy_baseline2,1690000,0,20
20141128_Wendy_baseline2,1730000,2,21
20141128_Wendy_baseline2,1910000,4,22
20141128_Wendy_baseline2,2260000,0,23
20141128_Wendy_baseline2,2395000,2,24
20141128_Wendy_baseline2,2845000,0,25
20141128_Wendy_baseline2,2865000,2,26
20141128_Wendy_baseline2,3095000,4,27
20141128_Wendy_baseline2,3725000,0,28
20141128_Wendy_baseline2,3895000,2,29
20141128_Wendy_baseline2,4050000,4,30
