"","Session","time","Time.minsec","Description","Focus","Large.Head.Movement","Activity","Social.Plane"
"17","20141125_wendy_baseline1",85000,"1m25s","","","","",""
"18","20141125_wendy_baseline1",90000,"1m30s","","","","",""
"24","20141125_wendy_baseline1",120000,"2m0s","","","","",""
"50","20141125_wendy_baseline1",250000,"4m10s","","","","",""
"70","20141125_wendy_baseline1",350000,"5m50s","","","","",""
"84","20141125_wendy_baseline1",420000,"7m0s","","","","",""
"85","20141125_wendy_baseline1",425000,"7m5s","","","","",""
"86","20141125_wendy_baseline1",430000,"7m10s","","","","",""
"87","20141125_wendy_baseline1",435000,"7m15s","","","","",""
"90","20141125_wendy_baseline1",450000,"7m30s","","","","",""
"94","20141125_wendy_baseline1",470000,"7m50s","","","","",""
"95","20141125_wendy_baseline1",475000,"7m55s","","","","",""
"96","20141125_wendy_baseline1",480000,"8m0s","","","","",""
"113","20141125_wendy_baseline1",565000,"9m25s","","","","",""
"118","20141125_wendy_baseline1",590000,"9m50s","","","","",""
"130","20141125_wendy_baseline1",650000,"10m50s","","","","",""
"131","20141125_wendy_baseline1",655000,"10m55s","","","","",""
"148","20141125_wendy_baseline1",740000,"12m20s","","","","",""
"151","20141125_wendy_baseline1",755000,"12m35s","","","","",""
"160","20141125_wendy_baseline1",8e+05,"13m20s","","","","",""
"166","20141125_wendy_baseline1",830000,"13m50s","","","","",""
"230","20141125_wendy_baseline1",1150000,"19m10s","","","","",""
"231","20141125_wendy_baseline1",1155000,"19m15s","","","","",""
"237","20141125_wendy_baseline1",1185000,"19m45s","","","","",""
"244","20141125_wendy_baseline1",1220000,"20m20s","","","","",""
"245","20141125_wendy_baseline1",1225000,"20m25s","","","","",""
"248","20141125_wendy_baseline1",1240000,"20m40s","","","","",""
"259","20141125_wendy_baseline1",1295000,"21m35s","","","","",""
"279","20141125_wendy_baseline1",1395000,"23m15s","","","","",""
"303","20141125_wendy_baseline1",1515000,"25m15s","","","","",""
"311","20141125_wendy_baseline1",1555000,"25m55s","","","","",""
"312","20141125_wendy_baseline1",1560000,"26m0s","","","","",""
"317","20141125_wendy_baseline1",1585000,"26m25s","","","","",""
"318","20141125_wendy_baseline1",1590000,"26m30s","","","","",""
"339","20141125_wendy_baseline1",1695000,"28m15s","","","","",""
"348","20141125_wendy_baseline1",1740000,"29m0s","","","","",""
"349","20141125_wendy_baseline1",1745000,"29m5s","","","","",""
"395","20141125_wendy_baseline1",1975000,"32m55s","","","","",""
"396","20141125_wendy_baseline1",1980000,"33m0s","","","","",""
"403","20141125_wendy_baseline1",2015000,"33m35s","","","","",""
"425","20141125_wendy_baseline1",2125000,"35m25s","","","","",""
"428","20141125_wendy_baseline1",2140000,"35m40s","","","","",""
"431","20141125_wendy_baseline1",2155000,"35m55s","","","","",""
"435","20141125_wendy_baseline1",2175000,"36m15s","","","","",""
"438","20141125_wendy_baseline1",2190000,"36m30s","","","","",""
"441","20141125_wendy_baseline1",2205000,"36m45s","","","","",""
"445","20141125_wendy_baseline1",2225000,"37m5s","","","","",""
"446","20141125_wendy_baseline1",2230000,"37m10s","","","","",""
"447","20141125_wendy_baseline1",2235000,"37m15s","","","","",""
"451","20141125_wendy_baseline1",2255000,"37m35s","","","","",""
"453","20141125_wendy_baseline1",2265000,"37m45s","","","","",""
"454","20141125_wendy_baseline1",2270000,"37m50s","","","","",""
"457","20141125_wendy_baseline1",2285000,"38m5s","","","","",""
"458","20141125_wendy_baseline1",2290000,"38m10s","","","","",""
"460","20141125_wendy_baseline1",2300000,"38m20s","","","","",""
"461","20141125_wendy_baseline1",2305000,"38m25s","","","","",""
"464","20141125_wendy_baseline1",2320000,"38m40s","","","","",""
"474","20141125_wendy_baseline1",2370000,"39m30s","","","","",""
"475","20141125_wendy_baseline1",2375000,"39m35s","","","","",""
"479","20141125_wendy_baseline1",2395000,"39m55s","","","","",""
"482","20141125_wendy_baseline1",2410000,"40m10s","","","","",""
"483","20141125_wendy_baseline1",2415000,"40m15s","","","","",""
"514","20141125_wendy_baseline1",2570000,"42m50s","","","","",""
"518","20141125_wendy_baseline1",2590000,"43m10s","","","","",""
"524","20141125_wendy_baseline1",2620000,"43m40s","","","","",""
"527","20141125_wendy_baseline1",2635000,"43m55s","","","","",""
"535","20141125_wendy_baseline1",2675000,"44m35s","","","","",""
"536","20141125_wendy_baseline1",2680000,"44m40s","","","","",""
"537","20141125_wendy_baseline1",2685000,"44m45s","","","","",""
"538","20141125_wendy_baseline1",2690000,"44m50s","","","","",""
"545","20141125_wendy_baseline1",2725000,"45m25s","","","","",""
"553","20141125_wendy_baseline1",2765000,"46m5s","","","","",""
"554","20141125_wendy_baseline1",2770000,"46m10s","","","","",""
"559","20141125_wendy_baseline1",2795000,"46m35s","","","","",""
"568","20141125_wendy_baseline1",2840000,"47m20s","","","","",""
"578","20141125_wendy_baseline1",2890000,"48m10s","","","","",""
"579","20141125_wendy_baseline1",2895000,"48m15s","","","","",""
"595","20141125_wendy_baseline1",2975000,"49m35s","","","","",""
"596","20141125_wendy_baseline1",2980000,"49m40s","","","","",""
"598","20141125_wendy_baseline1",2990000,"49m50s","","","","",""
"599","20141125_wendy_baseline1",2995000,"49m55s","","","","",""
"610","20141125_wendy_baseline1",3050000,"50m50s","","","","",""
"611","20141125_wendy_baseline1",3055000,"50m55s","","","","",""
"612","20141125_wendy_baseline1",3060000,"51m0s","","","","",""
"645","20141125_wendy_baseline1",3225000,"53m45s","","","","",""
"646","20141125_wendy_baseline1",3230000,"53m50s","","","","",""
"666","20141125_wendy_baseline1",3330000,"55m30s","","","","",""
