,Session,time,Time.minsec,Description,Focus,Large.Head.Movement,Activity,Social.Plane
17,20141125_wendy_baseline1,85000,1m25s,"The teacher moves around the class while explaining the dynamic of the lesson to the whole classroom, looking around",LAP,Y,EXP,CLS
18,20141125_wendy_baseline1,90000,1m30s,"The teacher moves around the class while explaining the dynamic of the lesson to the whole classroom, looking around",FAC,Y,EXP,CLS
24,20141125_wendy_baseline1,120000,2m0s,"Teacher explaining to the whole class, about a certain exercise",LAP,Y,EXP,CLS
50,20141125_wendy_baseline1,250000,4m10s,"Teacher looks into her computer, looking around the NetSupport software (probably checking that everything is working correctly)",TCOMP,N,MON,CLS
70,20141125_wendy_baseline1,350000,5m50s,Teacher is asking around to see who has finished the first question,FAC,Y,QUE,CLS
84,20141125_wendy_baseline1,420000,7m0s,"Teacher is answering a student question, looking at the paper worksheet to know what is the question",PAP,N,REP,IND
85,20141125_wendy_baseline1,425000,7m5s,"Teacher is answering a student question, looking at the paper worksheet to know what is the question",PAP,N,REP,IND
86,20141125_wendy_baseline1,430000,7m10s,"Teacher is answering a student question, looking at the paper worksheet to know what is the question",PAP,N,REP,IND
87,20141125_wendy_baseline1,435000,7m15s,"Teacher dismisses the student and looks around, and asks one of the students to solve an exercise",PAP,Y,TDT,CLS
90,20141125_wendy_baseline1,450000,7m30s,Teacher is selecting one student in the CMS to show it in the projector,TCOMP,N,TDT,CLS
94,20141125_wendy_baseline1,470000,7m50s,"Since some of the students cannot see what the teacher intends, she fiddles again with the CMS",TCOMP,Y,REP,CLS
95,20141125_wendy_baseline1,475000,7m55s,"Since some of the students cannot see what the teacher intends, she fiddles again with the CMS",TCOMP,N,REP,CLS
96,20141125_wendy_baseline1,480000,8m0s,"Since some of the students cannot see what the teacher intends, she fiddles again with the CMS",TCOMP,Y,REP,CLS
113,20141125_wendy_baseline1,565000,9m25s,Teacher asks around to see the progress of students,FAC,Y,QUE,CLS
118,20141125_wendy_baseline1,590000,9m50s,"Teacher has asked a question to one of the students, and listens to the answer",FAC,N,QUE,CLS
130,20141125_wendy_baseline1,650000,10m50s,Teacher is looking around the CMS as one of the students is asking her a question\,TCOMP,N,REP,IND
131,20141125_wendy_baseline1,655000,10m55s,Teacher is looking around the CMS as one of the students is asking her a question\,TCOMP,N,REP,IND
148,20141125_wendy_baseline1,740000,12m20s,Teacher is looking around as students discuss and she tries to find out if everyone is seeing the same thing,FAC,Y,REP,CLS
151,20141125_wendy_baseline1,755000,12m35s,Teacher is trying to show something in her computer to all the students,TCOMP,N,REP,CLS
160,20141125_wendy_baseline1,800000,13m20s,"Teacher moves and sits in front of her computer, is trying to explain students how to do something in the computer",FAC,N,EXP,CLS
166,20141125_wendy_baseline1,830000,13m50s,Teacher is explaining another step in the exercises and how to do it with the Sketchpad,FAC,Y,EXP,CLS
230,20141125_wendy_baseline1,1150000,19m10s,"Teacher is trying to find something in the screen of her computer, while a student asks her a question (not so clear if the computer actions are related to the question)",TCOMP,N,REP,IND
231,20141125_wendy_baseline1,1155000,19m15s,"Teacher is trying to find something in the screen of her computer, while a student asks her a question (not so clear if the computer actions are related to the question)",TCOMP,N,REP,IND
237,20141125_wendy_baseline1,1185000,19m45s,"Teacher is looking around the mosaic of monitors in the CMS, while one of the students approaches to ask a question",TCOMP,N,MON,CLS
244,20141125_wendy_baseline1,1220000,20m20s,"Teacher is in her seat, solving a doubt for a student",PAP,N,REP,IND
245,20141125_wendy_baseline1,1225000,20m25s,"Teacher is in her seat, solving a doubt for a student",LAP,Y,REP,IND
248,20141125_wendy_baseline1,1240000,20m40s,"Teacher is in her seat, solving a doubt for a student",PAP,N,REP,IND
259,20141125_wendy_baseline1,1295000,21m35s,"Teacher is in her seat, solving a doubt for two students",FAC,Y,REP,GRP
279,20141125_wendy_baseline1,1395000,23m15s,"Teacher is going around the classroom, and stops by one of the students to solve a question",LAP,Y,REP,IND
303,20141125_wendy_baseline1,1515000,25m15s,"Teacher is going around monitoring the work of the students, giving occasional comments",LAP,Y,MON,CLS
311,20141125_wendy_baseline1,1555000,25m55s,"Teacher is solving some problem for a student, in his laptop",LAP,N,REP,IND
312,20141125_wendy_baseline1,1560000,26m0s,"Teacher is solving some problem for a student, in his laptop",LAP,N,REP,IND
317,20141125_wendy_baseline1,1585000,26m25s,"Teacher is solving some problem for a student, in his laptop",LAP,N,REP,IND
318,20141125_wendy_baseline1,1590000,26m30s,"Teacher is solving some problem for a student, in his laptop",LAP,Y,REP,IND
339,20141125_wendy_baseline1,1695000,28m15s,Teacher is solving a doubt to some other student,LAP,Y,REP,IND
348,20141125_wendy_baseline1,1740000,29m0s,"Teacher looks around, one student has a question and the teacher goes up to her",NA,Y,MON,CLS
349,20141125_wendy_baseline1,1745000,29m5s,"Teacher looks around, one student has a question and the teacher goes up to her",FAC,Y,REP,IND
395,20141125_wendy_baseline1,1975000,32m55s,Teacher is solving a question,LAP,N,REP,IND
396,20141125_wendy_baseline1,1980000,33m0s,Teacher is solving a question,LAP,N,REP,IND
403,20141125_wendy_baseline1,2015000,33m35s,Teacher is solving a question,LAP,N,REP,IND
425,20141125_wendy_baseline1,2125000,35m25s,Teacher solves several student questions in a row,FAC,Y,REP,IND
428,20141125_wendy_baseline1,2140000,35m40s,"Teacher solves a doubt for another student, looking alternatively to paper and laptop",PAP,N,REP,IND
431,20141125_wendy_baseline1,2155000,35m55s,Teacher sits down in a student chair to solve another student question,LAP,Y,REP,IND
435,20141125_wendy_baseline1,2175000,36m15s,"Teacher looks around, looks at one student making a question that he answers himself, then looks around again",LAP,Y,MON,CLS
438,20141125_wendy_baseline1,2190000,36m30s,Teacher is solving a question,LAP,N,REP,IND
441,20141125_wendy_baseline1,2205000,36m45s,Teacher is solving a question,LAP,N,REP,IND
445,20141125_wendy_baseline1,2225000,37m5s,"Teacher looks at one student working, at some point he says he does not understand the exercise",LAP,N,MON,IND
446,20141125_wendy_baseline1,2230000,37m10s,"Teacher looks at one student working, at some point he says he does not understand the exercise",LAP,N,MON,IND
447,20141125_wendy_baseline1,2235000,37m15s,"Teacher looks at one student working, at some point he says he does not understand the exercise",PAP,N,MON,IND
451,20141125_wendy_baseline1,2255000,37m35s,"Teacher looks at one student working, at some point he says he does not understand the exercise",PAP,N,MON,IND
453,20141125_wendy_baseline1,2265000,37m45s,"Teacher still looks at the student working, but slowly guides him through the steps",LAP,N,REP,IND
454,20141125_wendy_baseline1,2270000,37m50s,"Teacher still looks at the student working, but slowly guides him through the steps",LAP,N,REP,IND
457,20141125_wendy_baseline1,2285000,38m5s,"Teacher still looks at the student working, but slowly guides him through the steps",LAP,N,REP,IND
458,20141125_wendy_baseline1,2290000,38m10s,"Teacher looks at the student working, then also looks aroudn the class",PAP,Y,MON,CLS
460,20141125_wendy_baseline1,2300000,38m20s,"Teacher looks around the classroom, then the same student catches her attention again",NA,Y,MON,CLS
461,20141125_wendy_baseline1,2305000,38m25s,Teacher solving a student's questions,PAP,N,REP,IND
464,20141125_wendy_baseline1,2320000,38m40s,Teacher solving a student's questions,PAP,N,REP,IND
474,20141125_wendy_baseline1,2370000,39m30s,"Teacher finishes solving question, looks a bit around and then gets asked a question by one of the students and tells student to read carefully",LAP,Y,MON,CLS
475,20141125_wendy_baseline1,2375000,39m35s,"Teacher finishes solving question, looks a bit around and then gets asked a question by one of the students and tells student to read carefully",LAP,Y,REP,IND
479,20141125_wendy_baseline1,2395000,39m55s,"Teacher looks at the paper and the monitor, as the student reads himself, to see if he solves the question",LAP,Y,REP,IND
482,20141125_wendy_baseline1,2410000,40m10s,"Teacher guides the student to solve his question, with his laptop",LAP,Y,REP,IND
483,20141125_wendy_baseline1,2415000,40m15s,"Teacher guides the student to solve his question, with his laptop",LAP,N,REP,IND
514,20141125_wendy_baseline1,2570000,42m50s,Teacher looks as one of the students solves his question himself,LAP,N,MON,IND
518,20141125_wendy_baseline1,2590000,43m10s,"Teacher looks around, remarks that time is running out, then a student comes up to her with a question",NA,Y,MON,CLS
524,20141125_wendy_baseline1,2620000,43m40s,Teacher is looking at the paper while solving a question for a student,PAP,N,REP,IND
527,20141125_wendy_baseline1,2635000,43m55s,Teacher reads out with a student an exercise he does not understand,PAP,Y,REP,IND
535,20141125_wendy_baseline1,2675000,44m35s,Teacher goes through an exercise with a student that has trouble understanding it,PAP,N,REP,IND
536,20141125_wendy_baseline1,2680000,44m40s,Teacher goes through an exercise with a student that has trouble understanding it,PAP,N,REP,IND
537,20141125_wendy_baseline1,2685000,44m45s,Teacher goes through an exercise with a student that has trouble understanding it,PAP,N,REP,IND
538,20141125_wendy_baseline1,2690000,44m50s,Teacher goes through an exercise with a student that has trouble understanding it,LAP,N,REP,IND
545,20141125_wendy_baseline1,2725000,45m25s,Teacher goes through an exercise with a student that has trouble understanding it,LAP,N,REP,IND
553,20141125_wendy_baseline1,2765000,46m5s,Teacher looks while the student explains to her what she did,LAP,N,MON,IND
554,20141125_wendy_baseline1,2770000,46m10s,Teacher looks while the student explains to her what she did,LAP,N,MON,IND
559,20141125_wendy_baseline1,2795000,46m35s,"Prompted by a remark a student did about the projected mosaic of screens, Teacher is moving to sit on her computer, while another student asks a question by her",TCOMP,Y,REP,NA
568,20141125_wendy_baseline1,2840000,47m20s,"Teacher is answering questions by two students, at her desk",FAC,Y,REP,GRP
578,20141125_wendy_baseline1,2890000,48m10s,Teacher is solving a student's doubt,LAP,N,REP,IND
579,20141125_wendy_baseline1,2895000,48m15s,Teacher is solving a student's doubt,LAP,N,REP,IND
595,20141125_wendy_baseline1,2975000,49m35s,Teacher is solving another student question,PAP,N,REP,IND
596,20141125_wendy_baseline1,2980000,49m40s,Teacher is solving another student question,PAP,N,REP,IND
598,20141125_wendy_baseline1,2990000,49m50s,Teacher is solving another student question,LAP,N,REP,IND
599,20141125_wendy_baseline1,2995000,49m55s,Teacher is solving another student question,LAP,N,REP,IND
610,20141125_wendy_baseline1,3050000,50m50s,Teacher is explaining another exercise to a student,PAP,N,REP,IND
611,20141125_wendy_baseline1,3055000,50m55s,Teacher is explaining another exercise to a student,PAP,N,REP,IND
612,20141125_wendy_baseline1,3060000,51m0s,Teacher is explaining another exercise to a student,PAP,N,REP,IND
645,20141125_wendy_baseline1,3225000,53m45s,"Teacher is at her desk, showing something, and then asks the class about what they have done",FAC,Y,EXP,CLS
646,20141125_wendy_baseline1,3230000,53m50s,"Teacher is at her desk, showing something, and then asks the class about what they have done",FAC,Y,QUE,CLS
666,20141125_wendy_baseline1,3330000,55m30s,"Teacher is asking a question to the class, and the tells one student to answer to everyone",FAC,Y,QUE,CLS
667,20141125_wendy_baseline1,3335000,55m35s,"Teacher is asking a question to the class, and the tells one student to answer to everyone",FAC,Y,QUE,CLS
668,20141125_wendy_baseline1,3340000,55m40s,"Teacher is asking a question to the class, and the tells one student to answer to everyone",FAC,Y,QUE,CLS
672,20141125_wendy_baseline1,3360000,56m0s,"Teacher is explaining some actions in the program, at her computer",TCOMP,N,EXP,CLS
688,20141125_wendy_baseline1,3440000,57m20s,"Teacher is asking a question to the class, and the tells one student to answer to everyone",FAC,Y,QUE,CLS
689,20141125_wendy_baseline1,3445000,57m25s,"Teacher is asking a question to the class, and the tells one student to answer to everyone",FAC,Y,QUE,CLS
690,20141125_wendy_baseline1,3450000,57m30s,"Teacher is asking a question to the class, and the tells one student to answer to everyone",FAC,Y,QUE,CLS
692,20141125_wendy_baseline1,3460000,57m40s,"Teacher is asking a question to the class, and the tells one student to answer to everyone",FAC,Y,QUE,CLS
720,20141125_wendy_baseline1,3600000,60m0s,"Teacher is asking a question to the class, and a student responds",FAC,Y,QUE,CLS
723,20141125_wendy_baseline1,3615000,60m15s,"Following her question, teacher explains some missed concept",FAC,Y,EXP,CLS
724,20141125_wendy_baseline1,3620000,60m20s,"Following her question, teacher explains some missed concept",FAC,Y,EXP,CLS
769,20141125_wendy_baseline1,3845000,64m5s,Teacher is solving a student's doubt,LAP,N,REP,IND
