Trial;Subject;Color;Name;Stimulus;Start Time [ms];End Time [ms];Fixation Start [ms];Fixation Duration [ms];Fixation End [ms];Position X;Position Y;Average Pupil Size [px] X;Average Pupil Size [px] Y;Average Pupil Diameter [mm];Dispersion X;Dispersion Y;Eye;Number;
Trial001;wendy-1-unified;Coral;wendy;wendy-1-recording.avi;0;4414932;132;1564;1697;901.3;693.7;99.0;90.1;4.4;26.0;29.0;Binocular;1;
Trial001;wendy-1-unified;Coral;wendy;wendy-1-recording.avi;0;4414932;1796;865;2662;818.4;674.5;101.3;91.6;4.4;72.0;110.0;Binocular;2;
Trial001;wendy-1-unified;Coral;wendy;wendy-1-recording.avi;0;4414932;2728;99;2828;800.1;749.7;103.7;97.0;4.4;6.0;10.0;Binocular;3;
Trial001;wendy-1-unified;Coral;wendy;wendy-1-recording.avi;0;4414932;2895;66;2961;780.0;708.8;104.0;96.0;4.4;2.0;8.0;Binocular;4;
Trial001;wendy-1-unified;Coral;wendy;wendy-1-recording.avi;0;4414932;3194;166;3360;782.1;760.1;103.0;88.0;4.3;3.0;82.0;Binocular;5;
Trial001;wendy-1-unified;Coral;wendy;wendy-1-recording.avi;0;4414932;3427;166;3593;858.5;707.2;101.6;91.8;4.4;16.0;49.0;Binocular;6;
Trial001;wendy-1-unified;Coral;wendy;wendy-1-recording.avi;0;4414932;3760;133;3893;870.6;609.9;100.3;84.5;4.3;71.0;99.0;Binocular;7;
Trial001;wendy-1-unified;Coral;wendy;wendy-1-recording.avi;0;4414932;4092;365;4458;686.8;472.0;103.3;81.9;4.4;111.0;149.0;Binocular;8;
Trial001;wendy-1-unified;Coral;wendy;wendy-1-recording.avi;0;4414932;4525;66;4592;642.1;596.1;107.0;93.0;4.5;7.0;7.0;Binocular;9;
Trial001;wendy-1-unified;Coral;wendy;wendy-1-recording.avi;0;4414932;4691;133;4825;563.8;497.4;108.0;91.8;4.6;45.0;11.0;Binocular;10;
Trial001;wendy-1-unified;Coral;wendy;wendy-1-recording.avi;0;4414932;4891;199;5091;439.3;453.4;108.7;87.8;4.6;23.0;11.0;Binocular;11;
Trial001;wendy-1-unified;Coral;wendy;wendy-1-recording.avi;0;4414932;5157;166;5324;368.7;467.2;109.6;88.0;4.6;63.0;9.0;Binocular;12;
Trial001;wendy-1-unified;Coral;wendy;wendy-1-recording.avi;0;4414932;5424;66;5490;404.0;293.4;108.5;87.5;4.6;5.0;2.0;Binocular;13;
Trial001;wendy-1-unified;Coral;wendy;wendy-1-recording.avi;0;4414932;5889;133;6022;491.6;505.1;112.5;98.3;4.8;14.0;3.0;Binocular;14;
Trial001;wendy-1-unified;Coral;wendy;wendy-1-recording.avi;0;4414932;6089;266;6355;630.8;690.5;114.3;100.3;4.8;6.0;33.0;Binocular;15;
Trial001;wendy-1-unified;Coral;wendy;wendy-1-recording.avi;0;4414932;6422;99;6522;622.7;662.5;115.0;100.7;4.8;5.0;23.0;Binocular;16;
Trial001;wendy-1-unified;Coral;wendy;wendy-1-recording.avi;0;4414932;6621;232;6854;622.9;589.5;114.1;98.7;4.8;8.0;17.0;Binocular;17;
Trial001;wendy-1-unified;Coral;wendy;wendy-1-recording.avi;0;4414932;6921;299;7220;619.6;526.6;114.7;95.4;4.8;7.0;6.0;Binocular;18;
Trial001;wendy-1-unified;Coral;wendy;wendy-1-recording.avi;0;4414932;7354;232;7586;560.8;500.5;114.7;97.1;4.8;4.0;3.0;Binocular;19;
Trial001;wendy-1-unified;Coral;wendy;wendy-1-recording.avi;0;4414932;7653;199;7853;544.6;483.9;115.2;95.5;4.9;10.0;21.0;Binocular;20;
Trial001;wendy-1-unified;Coral;wendy;wendy-1-recording.avi;0;4414932;7919;99;8019;550.4;451.0;116.0;92.0;4.9;2.0;8.0;Binocular;21;
Trial001;wendy-1-unified;Coral;wendy;wendy-1-recording.avi;0;4414932;8086;66;8152;430.6;369.9;114.0;85.0;4.8;1.0;0.0;Binocular;22;
Trial001;wendy-1-unified;Coral;wendy;wendy-1-recording.avi;0;4414932;8219;266;8485;487.3;361.3;115.3;86.5;4.9;53.0;6.0;Binocular;23;
Trial001;wendy-1-unified;Coral;wendy;wendy-1-recording.avi;0;4414932;8551;832;9383;629.8;414.5;115.3;87.5;4.9;8.0;24.0;Binocular;24;
Trial001;wendy-1-unified;Coral;wendy;wendy-1-recording.avi;0;4414932;9483;332;9816;642.1;359.3;114.2;82.6;4.8;8.0;17.0;Binocular;25;
