Trial;Subject;Color;Name;Stimulus;Start Time [ms];End Time [ms];Saccade Start [ms];Saccade Duration [ms];Saccade End [ms];StartPosition X;StartPosition Y;EndPosition X;EndPosition Y;Amplitude [°];Acceleration  Average [°/s²];Acceleration  Peak [°/s²];Deceleration  Peak [°/s²];Velocity  Average [°/s];Velocity  Peak [°/s];Peak Velocity at [%];Eye;Number;
Trial001;wendy-1-unified;Coral;wendy;wendy-1-recording.avi;0;4414932;1730;66;1796;906.6;706.3;879.6;716.9;1.5;-;-;-;-;-;-;Binocular;1;
Trial001;wendy-1-unified;Coral;wendy;wendy-1-recording.avi;0;4414932;2662;66;2728;788.4;648.8;805.2;751.7;5.0;-;-;-;-;-;-;Binocular;2;
Trial001;wendy-1-unified;Coral;wendy;wendy-1-recording.avi;0;4414932;2828;66;2895;793.7;737.7;787.0;725.6;1.0;-;-;-;-;-;-;Binocular;3;
Trial001;wendy-1-unified;Coral;wendy;wendy-1-recording.avi;0;4414932;2961;66;3028;765.6;745.1;756.0;800.1;4.5;-;-;-;-;-;-;Binocular;4;
Trial001;wendy-1-unified;Coral;wendy;wendy-1-recording.avi;0;4414932;3094;99;3194;745.7;685.6;785.9;863.6;18.6;-;-;-;-;-;-;Binocular;5;
Trial001;wendy-1-unified;Coral;wendy;wendy-1-recording.avi;0;4414932;3360;66;3427;816.1;654.6;864.4;726.3;7.9;-;-;-;-;-;-;Binocular;6;
Trial001;wendy-1-unified;Coral;wendy;wendy-1-recording.avi;0;4414932;3660;99;3760;795.1;589.5;801.3;582.5;24.5;-;-;-;-;-;-;Binocular;7;
Trial001;wendy-1-unified;Coral;wendy;wendy-1-recording.avi;0;4414932;3893;199;4092;815.9;535.2;753.1;575.7;21.5;-;-;-;-;-;-;Binocular;8;
Trial001;wendy-1-unified;Coral;wendy;wendy-1-recording.avi;0;4414932;4458;66;4525;636.4;442.7;653.8;600.7;8.1;-;-;-;-;-;-;Binocular;9;
Trial001;wendy-1-unified;Coral;wendy;wendy-1-recording.avi;0;4414932;4592;99;4691;630.5;579.5;605.1;524.4;3.5;-;-;-;-;-;-;Binocular;10;
Trial001;wendy-1-unified;Coral;wendy;wendy-1-recording.avi;0;4414932;4825;66;4891;534.6;494.3;470.1;476.8;3.4;-;-;-;-;-;-;Binocular;11;
Trial001;wendy-1-unified;Coral;wendy;wendy-1-recording.avi;0;4414932;5091;66;5157;417.9;465.4;405.4;473.3;1.3;-;-;-;-;-;-;Binocular;12;
Trial001;wendy-1-unified;Coral;wendy;wendy-1-recording.avi;0;4414932;5324;99;5424;307.7;469.7;410.7;300.1;12.0;-;-;-;-;-;-;Binocular;13;
Trial001;wendy-1-unified;Coral;wendy;wendy-1-recording.avi;0;4414932;6022;66;6089;504.0;507.6;594.6;602.7;6.3;-;-;-;-;-;-;Binocular;14;
Trial001;wendy-1-unified;Coral;wendy;wendy-1-recording.avi;0;4414932;6355;66;6422;628.6;670.8;627.1;691.3;1.8;-;-;-;-;-;-;Binocular;15;
Trial001;wendy-1-unified;Coral;wendy;wendy-1-recording.avi;0;4414932;6522;99;6621;619.9;642.8;618.5;608.2;2.0;-;-;-;-;-;-;Binocular;16;
Trial001;wendy-1-unified;Coral;wendy;wendy-1-recording.avi;0;4414932;6854;66;6921;621.7;558.6;617.0;536.6;2.0;-;-;-;-;-;-;Binocular;17;
Trial001;wendy-1-unified;Coral;wendy;wendy-1-recording.avi;0;4414932;7220;133;7354;623.6;522.1;562.9;499.4;2.9;-;-;-;-;-;-;Binocular;18;
Trial001;wendy-1-unified;Coral;wendy;wendy-1-recording.avi;0;4414932;7586;66;7653;556.7;499.8;553.8;493.9;0.5;-;-;-;-;-;-;Binocular;19;
Trial001;wendy-1-unified;Coral;wendy;wendy-1-recording.avi;0;4414932;7853;66;7919;543.8;467.4;543.6;459.3;0.6;-;-;-;-;-;-;Binocular;20;
Trial001;wendy-1-unified;Coral;wendy;wendy-1-recording.avi;0;4414932;8019;66;8086;551.5;439.8;435.7;379.1;6.4;-;-;-;-;-;-;Binocular;21;
Trial001;wendy-1-unified;Coral;wendy;wendy-1-recording.avi;0;4414932;8152;66;8219;430.6;363.8;449.7;362.9;1.2;-;-;-;-;-;-;Binocular;22;
Trial001;wendy-1-unified;Coral;wendy;wendy-1-recording.avi;0;4414932;8485;66;8551;544.7;371.0;632.9;414.2;6.1;-;-;-;-;-;-;Binocular;23;
Trial001;wendy-1-unified;Coral;wendy;wendy-1-recording.avi;0;4414932;9383;99;9483;626.2;398.7;626.8;390.3;0.6;-;-;-;-;-;-;Binocular;24;
Trial001;wendy-1-unified;Coral;wendy;wendy-1-recording.avi;0;4414932;9816;99;9916;639.3;355.3;578.3;422.2;4.4;-;-;-;-;-;-;Binocular;25;
Trial001;wendy-1-unified;Coral;wendy;wendy-1-recording.avi;0;4414932;10382;99;10481;576.4;425.4;571.6;412.2;1.1;-;-;-;-;-;-;Binocular;26;
