Trial;Subject;Color;Name;Stimulus;Start Time [ms];End Time [ms];Fixation Start [ms];Fixation Duration [ms];Fixation End [ms];Position X;Position Y;Average Pupil Size [px] X;Average Pupil Size [px] Y;Average Pupil Diameter [mm];Dispersion X;Dispersion Y;Eye;Number;
Trial001;wdndy-1-unified;Coral;wdndy;wdndy-1-recording.avi;0;4323970;133;232;365;1113.0;889.6;71.0;76.3;3.5;291.0;39.0;Binocular;1;
Trial001;wdndy-1-unified;Coral;wdndy;wdndy-1-recording.avi;0;4323970;432;166;598;929.9;720.0;77.8;75.0;3.5;49.0;14.0;Binocular;2;
Trial001;wdndy-1-unified;Coral;wdndy;wdndy-1-recording.avi;0;4323970;698;166;865;874.8;714.3;77.0;72.6;3.5;3.0;2.0;Binocular;3;
Trial001;wdndy-1-unified;Coral;wdndy;wdndy-1-recording.avi;0;4323970;931;99;1031;861.5;727.0;74.0;70.0;3.4;9.0;7.0;Binocular;4;
Trial001;wdndy-1-unified;Coral;wdndy;wdndy-1-recording.avi;0;4323970;1131;199;1331;895.7;734.2;76.8;72.8;3.5;30.0;3.0;Binocular;5;
Trial001;wdndy-1-unified;Coral;wdndy;wdndy-1-recording.avi;0;4323970;1397;233;1630;936.8;742.3;76.1;73.6;3.5;15.0;17.0;Binocular;6;
Trial001;wdndy-1-unified;Coral;wdndy;wdndy-1-recording.avi;0;4323970;1730;66;1796;904.4;754.7;75.5;73.5;3.5;9.0;0.0;Binocular;7;
Trial001;wdndy-1-unified;Coral;wdndy;wdndy-1-recording.avi;0;4323970;1863;299;2163;895.4;801.5;75.9;74.0;3.4;52.0;6.0;Binocular;8;
Trial001;wdndy-1-unified;Coral;wdndy;wdndy-1-recording.avi;0;4323970;2229;266;2495;935.5;832.6;74.1;74.1;3.4;5.0;9.0;Binocular;9;
Trial001;wdndy-1-unified;Coral;wdndy;wdndy-1-recording.avi;0;4323970;2595;299;2895;794.6;838.3;76.0;73.3;3.4;14.0;40.0;Binocular;10;
Trial001;wdndy-1-unified;Coral;wdndy;wdndy-1-recording.avi;0;4323970;2994;133;3127;836.9;848.3;77.5;75.5;3.4;32.0;45.0;Binocular;11;
Trial001;wdndy-1-unified;Coral;wdndy;wdndy-1-recording.avi;0;4323970;3327;865;4192;693.7;837.5;81.4;77.3;3.5;337.0;199.0;Binocular;12;
Trial001;wdndy-1-unified;Coral;wdndy;wdndy-1-recording.avi;0;4323970;4259;332;4592;569.3;875.1;88.3;84.5;3.9;31.0;29.0;Binocular;13;
