Trial;Subject;Color;Name;Stimulus;Start Time [ms];End Time [ms];Saccade Start [ms];Saccade Duration [ms];Saccade End [ms];StartPosition X;StartPosition Y;EndPosition X;EndPosition Y;Amplitude [°];Acceleration  Average [°/s²];Acceleration  Peak [°/s²];Deceleration  Peak [°/s²];Velocity  Average [°/s];Velocity  Peak [°/s];Peak Velocity at [%];Eye;Number;
Trial001;wdndy-1-unified;Coral;wdndy;wdndy-1-recording.avi;0;4323970;0;133;133;1188.5;847.5;1265.7;886.8;24.7;-;-;-;-;-;-;Binocular;1;
Trial001;wdndy-1-unified;Coral;wdndy;wdndy-1-recording.avi;0;4323970;365;66;432;941.0;847.2;952.1;774.3;5.4;-;-;-;-;-;-;Binocular;2;
Trial001;wdndy-1-unified;Coral;wdndy;wdndy-1-recording.avi;0;4323970;598;99;698;913.3;761.7;881.5;715.3;4.7;-;-;-;-;-;-;Binocular;3;
Trial001;wdndy-1-unified;Coral;wdndy;wdndy-1-recording.avi;0;4323970;865;66;931;874.0;714.6;869.0;719.1;0.3;-;-;-;-;-;-;Binocular;4;
Trial001;wdndy-1-unified;Coral;wdndy;wdndy-1-recording.avi;0;4323970;1031;99;1131;855.3;729.9;870.1;730.4;0.8;-;-;-;-;-;-;Binocular;5;
Trial001;wdndy-1-unified;Coral;wdndy;wdndy-1-recording.avi;0;4323970;1331;66;1397;914.7;732.9;922.9;730.3;0.6;-;-;-;-;-;-;Binocular;6;
Trial001;wdndy-1-unified;Coral;wdndy;wdndy-1-recording.avi;0;4323970;1630;99;1730;935.0;753.5;914.5;755.3;1.3;-;-;-;-;-;-;Binocular;7;
Trial001;wdndy-1-unified;Coral;wdndy;wdndy-1-recording.avi;0;4323970;1796;66;1863;894.4;757.3;935.6;796.9;2.9;-;-;-;-;-;-;Binocular;8;
Trial001;wdndy-1-unified;Coral;wdndy;wdndy-1-recording.avi;0;4323970;2163;66;2229;875.7;800.6;938.4;836.9;3.4;-;-;-;-;-;-;Binocular;9;
Trial001;wdndy-1-unified;Coral;wdndy;wdndy-1-recording.avi;0;4323970;2495;99;2595;930.6;827.9;793.4;848.3;6.6;-;-;-;-;-;-;Binocular;10;
Trial001;wdndy-1-unified;Coral;wdndy;wdndy-1-recording.avi;0;4323970;2895;99;2994;803.7;821.6;856.6;892.4;5.5;-;-;-;-;-;-;Binocular;11;
Trial001;wdndy-1-unified;Coral;wdndy;wdndy-1-recording.avi;0;4323970;3127;66;3194;889.6;804.7;793.5;787.3;8.0;-;-;-;-;-;-;Binocular;12;
Trial001;wdndy-1-unified;Coral;wdndy;wdndy-1-recording.avi;0;4323970;3227;99;3327;763.2;774.3;900.2;999.1;13.2;-;-;-;-;-;-;Binocular;13;
Trial001;wdndy-1-unified;Coral;wdndy;wdndy-1-recording.avi;0;4323970;4192;66;4259;548.1;851.7;551.4;858.4;0.5;-;-;-;-;-;-;Binocular;14;
Trial001;wdndy-1-unified;Coral;wdndy;wdndy-1-recording.avi;0;4323970;4592;99;4691;592.5;900.6;332.5;1051.2;14.4;-;-;-;-;-;-;Binocular;15;
Trial001;wdndy-1-unified;Coral;wdndy;wdndy-1-recording.avi;0;4323970;4825;66;4891;351.7;1061.1;361.7;1059.8;0.7;-;-;-;-;-;-;Binocular;16;
Trial001;wdndy-1-unified;Coral;wdndy;wdndy-1-recording.avi;0;4323970;4958;66;5024;370.1;1070.3;353.5;1124.5;2.9;-;-;-;-;-;-;Binocular;17;
Trial001;wdndy-1-unified;Coral;wdndy;wdndy-1-recording.avi;0;4323970;5091;66;5157;371.8;1093.3;382.6;1033.5;3.3;-;-;-;-;-;-;Binocular;18;
Trial001;wdndy-1-unified;Coral;wdndy;wdndy-1-recording.avi;0;4323970;5690;66;5756;673.5;499.4;894.6;468.5;16.4;-;-;-;-;-;-;Binocular;19;
Trial001;wdndy-1-unified;Coral;wdndy;wdndy-1-recording.avi;0;4323970;5856;66;5923;1412.8;487.9;1269.1;518.3;8.0;-;-;-;-;-;-;Binocular;20;
Trial001;wdndy-1-unified;Coral;wdndy;wdndy-1-recording.avi;0;4323970;6821;66;6888;635.0;536.9;345.1;822.3;19.4;-;-;-;-;-;-;Binocular;21;
Trial001;wdndy-1-unified;Coral;wdndy;wdndy-1-recording.avi;0;4323970;7087;66;7154;373.1;682.3;387.4;662.2;1.4;-;-;-;-;-;-;Binocular;22;
Trial001;wdndy-1-unified;Coral;wdndy;wdndy-1-recording.avi;0;4323970;7254;66;7320;403.3;646.4;430.1;620.6;1.9;-;-;-;-;-;-;Binocular;23;
Trial001;wdndy-1-unified;Coral;wdndy;wdndy-1-recording.avi;0;4323970;7420;133;7553;455.4;601.5;497.2;674.9;10.0;-;-;-;-;-;-;Binocular;24;
Trial001;wdndy-1-unified;Coral;wdndy;wdndy-1-recording.avi;0;4323970;8152;99;8252;265.4;648.8;110.5;919.0;21.5;-;-;-;-;-;-;Binocular;25;
Trial001;wdndy-1-unified;Coral;wdndy;wdndy-1-recording.avi;0;4323970;8551;66;8618;291.5;837.7;297.2;825.5;0.8;-;-;-;-;-;-;Binocular;26;
Trial001;wdndy-1-unified;Coral;wdndy;wdndy-1-recording.avi;0;4323970;9350;66;9417;554.6;863.1;534.3;921.3;3.9;-;-;-;-;-;-;Binocular;27;
Trial001;wdndy-1-unified;Coral;wdndy;wdndy-1-recording.avi;0;4323970;9583;133;9716;504.8;848.5;526.8;1035.1;8.9;-;-;-;-;-;-;Binocular;28;
Trial001;wdndy-1-unified;Coral;wdndy;wdndy-1-recording.avi;0;4323970;9916;66;9982;510.4;987.2;515.8;966.8;1.6;-;-;-;-;-;-;Binocular;29;
Trial001;wdndy-1-unified;Coral;wdndy;wdndy-1-recording.avi;0;4323970;10116;133;10249;605.3;899.1;1014.9;889.1;41.2;-;-;-;-;-;-;Binocular;30;
Trial001;wdndy-1-unified;Coral;wdndy;wdndy-1-recording.avi;0;4323970;10715;66;10781;703.6;629.9;699.2;611.3;1.5;-;-;-;-;-;-;Binocular;31;
Trial001;wdndy-1-unified;Coral;wdndy;wdndy-1-recording.avi;0;4323970;10848;66;10914;722.5;602.0;774.5;623.5;4.3;-;-;-;-;-;-;Binocular;32;
Trial001;wdndy-1-unified;Coral;wdndy;wdndy-1-recording.avi;0;4323970;11147;66;11214;756.1;583.5;744.5;583.2;1.0;-;-;-;-;-;-;Binocular;33;
Trial001;wdndy-1-unified;Coral;wdndy;wdndy-1-recording.avi;0;4323970;11447;66;11513;750.6;626.6;752.2;634.3;0.5;-;-;-;-;-;-;Binocular;34;
Trial001;wdndy-1-unified;Coral;wdndy;wdndy-1-recording.avi;0;4323970;11580;66;11646;765.8;645.5;866.0;678.1;5.4;-;-;-;-;-;-;Binocular;35;
Trial001;wdndy-1-unified;Coral;wdndy;wdndy-1-recording.avi;0;4323970;11946;66;12012;846.7;643.2;781.8;622.0;5.6;-;-;-;-;-;-;Binocular;36;
Trial001;wdndy-1-unified;Coral;wdndy;wdndy-1-recording.avi;0;4323970;12611;66;12678;818.0;604.5;761.8;572.8;3.2;-;-;-;-;-;-;Binocular;37;
Trial001;wdndy-1-unified;Coral;wdndy;wdndy-1-recording.avi;0;4323970;12844;99;12944;778.7;579.4;845.8;621.5;3.9;-;-;-;-;-;-;Binocular;38;
Trial001;wdndy-1-unified;Coral;wdndy;wdndy-1-recording.avi;0;4323970;13210;66;13277;842.1;629.0;802.6;660.9;2.5;-;-;-;-;-;-;Binocular;39;
Trial001;wdndy-1-unified;Coral;wdndy;wdndy-1-recording.avi;0;4323970;14142;66;14209;832.1;628.1;774.2;698.7;4.2;-;-;-;-;-;-;Binocular;40;
Trial001;wdndy-1-unified;Coral;wdndy;wdndy-1-recording.avi;0;4323970;15040;66;15107;840.6;627.1;838.8;620.4;0.4;-;-;-;-;-;-;Binocular;41;
Trial001;wdndy-1-unified;Coral;wdndy;wdndy-1-recording.avi;0;4323970;15373;66;15440;826.4;617.2;923.9;731.2;7.1;-;-;-;-;-;-;Binocular;42;
