Session,Window.Center,Load,Snippet
20150310_Wendy_Battleship1,190000,3,1
20150310_Wendy_Battleship1,500000,3,2
20150310_Wendy_Battleship1,680000,3,3
20150310_Wendy_Battleship1,780000,0,4
20150310_Wendy_Battleship1,960000,0,5
20150310_Wendy_Battleship1,1195000,0,6
20150310_Wendy_Battleship1,1235000,3,7
20150310_Wendy_Battleship1,1855000,3,8
20150310_Wendy_Battleship1,2000000,0,9
20150310_Wendy_Battleship1,2120000,3,10
20150310_Wendy_Battleship1,2265000,0,11
20150310_Wendy_Battleship1,2785000,3,12
20150310_Wendy_Battleship1,2865000,0,13
20150310_Wendy_Battleship1,3225000,0,14
20150310_Wendy_Battleship1,3720000,0,15
20150310_Wendy_Battleship1,4005000,3,16
20150313_Wendy_Battleship2,135000,0,17
20150313_Wendy_Battleship2,275000,3,18
20150313_Wendy_Battleship2,485000,3,19
20150313_Wendy_Battleship2,895000,3,20
20150313_Wendy_Battleship2,1010000,0,21
20150313_Wendy_Battleship2,1165000,3,22
20150313_Wendy_Battleship2,1455000,0,23
20150313_Wendy_Battleship2,1715000,3,24
20150313_Wendy_Battleship2,1780000,0,25
20150313_Wendy_Battleship2,2055000,0,26
20150313_Wendy_Battleship2,2135000,3,27
20150313_Wendy_Battleship2,2385000,0,28
20150313_Wendy_Battleship2,2625000,0,29
20150313_Wendy_Battleship2,2895000,3,30
20150313_Wendy_Battleship2,3110000,0,31
20150313_Wendy_Battleship2,3600000,3,32
