"","Session","time","Time.minsec","Description","Focus","Large.Head.Movement","Activity","Social.Plane"
"7","20150310_Wendy_Battleship1",35000,"0m35s","","","","",""
"10","20150310_Wendy_Battleship1",50000,"0m50s","","","","",""
"12","20150310_Wendy_Battleship1",60000,"1m0s","","","","",""
"15","20150310_Wendy_Battleship1",75000,"1m15s","","","","",""
"19","20150310_Wendy_Battleship1",95000,"1m35s","","","","",""
"20","20150310_Wendy_Battleship1",1e+05,"1m40s","","","","",""
"21","20150310_Wendy_Battleship1",105000,"1m45s","","","","",""
"23","20150310_Wendy_Battleship1",115000,"1m55s","","","","",""
"37","20150310_Wendy_Battleship1",185000,"3m5s","","","","",""
"38","20150310_Wendy_Battleship1",190000,"3m10s","","","","",""
"54","20150310_Wendy_Battleship1",270000,"4m30s","","","","",""
"63","20150310_Wendy_Battleship1",315000,"5m15s","","","","",""
"70","20150310_Wendy_Battleship1",350000,"5m50s","","","","",""
"73","20150310_Wendy_Battleship1",365000,"6m5s","","","","",""
"76","20150310_Wendy_Battleship1",380000,"6m20s","","","","",""
"80","20150310_Wendy_Battleship1",4e+05,"6m40s","","","","",""
"88","20150310_Wendy_Battleship1",440000,"7m20s","","","","",""
"99","20150310_Wendy_Battleship1",495000,"8m15s","","","","",""
"100","20150310_Wendy_Battleship1",5e+05,"8m20s","","","","",""
"101","20150310_Wendy_Battleship1",505000,"8m25s","","","","",""
"105","20150310_Wendy_Battleship1",525000,"8m45s","","","","",""
"135","20150310_Wendy_Battleship1",675000,"11m15s","","","","",""
"136","20150310_Wendy_Battleship1",680000,"11m20s","","","","",""
"137","20150310_Wendy_Battleship1",685000,"11m25s","","","","",""
"141","20150310_Wendy_Battleship1",705000,"11m45s","","","","",""
"145","20150310_Wendy_Battleship1",725000,"12m5s","","","","",""
"152","20150310_Wendy_Battleship1",760000,"12m40s","","","","",""
"155","20150310_Wendy_Battleship1",775000,"12m55s","","","","",""
"156","20150310_Wendy_Battleship1",780000,"13m0s","","","","",""
"157","20150310_Wendy_Battleship1",785000,"13m5s","","","","",""
"179","20150310_Wendy_Battleship1",895000,"14m55s","","","","",""
"191","20150310_Wendy_Battleship1",955000,"15m55s","","","","",""
"192","20150310_Wendy_Battleship1",960000,"16m0s","","","","",""
"193","20150310_Wendy_Battleship1",965000,"16m5s","","","","",""
"195","20150310_Wendy_Battleship1",975000,"16m15s","","","","",""
"218","20150310_Wendy_Battleship1",1090000,"18m10s","","","","",""
"228","20150310_Wendy_Battleship1",1140000,"19m0s","","","","",""
"229","20150310_Wendy_Battleship1",1145000,"19m5s","","","","",""
"238","20150310_Wendy_Battleship1",1190000,"19m50s","","","","",""
"239","20150310_Wendy_Battleship1",1195000,"19m55s","","","","",""
"241","20150310_Wendy_Battleship1",1205000,"20m5s","","","","",""
"244","20150310_Wendy_Battleship1",1220000,"20m20s","","","","",""
"247","20150310_Wendy_Battleship1",1235000,"20m35s","","","","",""
"282","20150310_Wendy_Battleship1",1410000,"23m30s","","","","",""
"311","20150310_Wendy_Battleship1",1555000,"25m55s","","","","",""
"335","20150310_Wendy_Battleship1",1675000,"27m55s","","","","",""
"370","20150310_Wendy_Battleship1",1850000,"30m50s","","","","",""
"371","20150310_Wendy_Battleship1",1855000,"30m55s","","","","",""
"383","20150310_Wendy_Battleship1",1915000,"31m55s","","","","",""
"384","20150310_Wendy_Battleship1",1920000,"32m0s","","","","",""
"392","20150310_Wendy_Battleship1",1960000,"32m40s","","","","",""
"399","20150310_Wendy_Battleship1",1995000,"33m15s","","","","",""
"400","20150310_Wendy_Battleship1",2e+06,"33m20s","","","","",""
"401","20150310_Wendy_Battleship1",2005000,"33m25s","","","","",""
"408","20150310_Wendy_Battleship1",2040000,"34m0s","","","","",""
"412","20150310_Wendy_Battleship1",2060000,"34m20s","","","","",""
"413","20150310_Wendy_Battleship1",2065000,"34m25s","","","","",""
"420","20150310_Wendy_Battleship1",2100000,"35m0s","","","","",""
"424","20150310_Wendy_Battleship1",2120000,"35m20s","","","","",""
"429","20150310_Wendy_Battleship1",2145000,"35m45s","","","","",""
"438","20150310_Wendy_Battleship1",2190000,"36m30s","","","","",""
"442","20150310_Wendy_Battleship1",2210000,"36m50s","","","","",""
"443","20150310_Wendy_Battleship1",2215000,"36m55s","","","","",""
"446","20150310_Wendy_Battleship1",2230000,"37m10s","","","","",""
"449","20150310_Wendy_Battleship1",2245000,"37m25s","","","","",""
"452","20150310_Wendy_Battleship1",2260000,"37m40s","","","","",""
"453","20150310_Wendy_Battleship1",2265000,"37m45s","","","","",""
"462","20150310_Wendy_Battleship1",2310000,"38m30s","","","","",""
"469","20150310_Wendy_Battleship1",2345000,"39m5s","","","","",""
"472","20150310_Wendy_Battleship1",2360000,"39m20s","","","","",""
"476","20150310_Wendy_Battleship1",2380000,"39m40s","","","","",""
"480","20150310_Wendy_Battleship1",2400000,"40m0s","","","","",""
"505","20150310_Wendy_Battleship1",2525000,"42m5s","","","","",""
"508","20150310_Wendy_Battleship1",2540000,"42m20s","","","","",""
"512","20150310_Wendy_Battleship1",2560000,"42m40s","","","","",""
"513","20150310_Wendy_Battleship1",2565000,"42m45s","","","","",""
"514","20150310_Wendy_Battleship1",2570000,"42m50s","","","","",""
"523","20150310_Wendy_Battleship1",2615000,"43m35s","","","","",""
"527","20150310_Wendy_Battleship1",2635000,"43m55s","","","","",""
"540","20150310_Wendy_Battleship1",2700000,"45m0s","","","","",""
"541","20150310_Wendy_Battleship1",2705000,"45m5s","","","","",""
"542","20150310_Wendy_Battleship1",2710000,"45m10s","","","","",""
"543","20150310_Wendy_Battleship1",2715000,"45m15s","","","","",""
"554","20150310_Wendy_Battleship1",2770000,"46m10s","","","","",""
"557","20150310_Wendy_Battleship1",2785000,"46m25s","","","","",""
"567","20150310_Wendy_Battleship1",2835000,"47m15s","","","","",""
"568","20150310_Wendy_Battleship1",2840000,"47m20s","","","","",""
"573","20150310_Wendy_Battleship1",2865000,"47m45s","","","","",""
"574","20150310_Wendy_Battleship1",2870000,"47m50s","","","","",""
"580","20150310_Wendy_Battleship1",2900000,"48m20s","","","","",""
"581","20150310_Wendy_Battleship1",2905000,"48m25s","","","","",""
"582","20150310_Wendy_Battleship1",2910000,"48m30s","","","","",""
"588","20150310_Wendy_Battleship1",2940000,"49m0s","","","","",""
"618","20150310_Wendy_Battleship1",3090000,"51m30s","","","","",""
"626","20150310_Wendy_Battleship1",3130000,"52m10s","","","","",""
"627","20150310_Wendy_Battleship1",3135000,"52m15s","","","","",""
"628","20150310_Wendy_Battleship1",3140000,"52m20s","","","","",""
"629","20150310_Wendy_Battleship1",3145000,"52m25s","","","","",""
"644","20150310_Wendy_Battleship1",3220000,"53m40s","","","","",""
"645","20150310_Wendy_Battleship1",3225000,"53m45s","","","","",""
"646","20150310_Wendy_Battleship1",3230000,"53m50s","","","","",""
"651","20150310_Wendy_Battleship1",3255000,"54m15s","","","","",""
"656","20150310_Wendy_Battleship1",3280000,"54m40s","","","","",""
"662","20150310_Wendy_Battleship1",3310000,"55m10s","","","","",""
"666","20150310_Wendy_Battleship1",3330000,"55m30s","","","","",""
"688","20150310_Wendy_Battleship1",3440000,"57m20s","","","","",""
"689","20150310_Wendy_Battleship1",3445000,"57m25s","","","","",""
"694","20150310_Wendy_Battleship1",3470000,"57m50s","","","","",""
"703","20150310_Wendy_Battleship1",3515000,"58m35s","","","","",""
"704","20150310_Wendy_Battleship1",3520000,"58m40s","","","","",""
"705","20150310_Wendy_Battleship1",3525000,"58m45s","","","","",""
"706","20150310_Wendy_Battleship1",3530000,"58m50s","","","","",""
"710","20150310_Wendy_Battleship1",3550000,"59m10s","","","","",""
"711","20150310_Wendy_Battleship1",3555000,"59m15s","","","","",""
"712","20150310_Wendy_Battleship1",3560000,"59m20s","","","","",""
"714","20150310_Wendy_Battleship1",3570000,"59m30s","","","","",""
"715","20150310_Wendy_Battleship1",3575000,"59m35s","","","","",""
"722","20150310_Wendy_Battleship1",3610000,"60m10s","","","","",""
"723","20150310_Wendy_Battleship1",3615000,"60m15s","","","","",""
"724","20150310_Wendy_Battleship1",3620000,"60m20s","","","","",""
"726","20150310_Wendy_Battleship1",3630000,"60m30s","","","","",""
"743","20150310_Wendy_Battleship1",3715000,"61m55s","","","","",""
"744","20150310_Wendy_Battleship1",3720000,"62m0s","","","","",""
"745","20150310_Wendy_Battleship1",3725000,"62m5s","","","","",""
"746","20150310_Wendy_Battleship1",3730000,"62m10s","","","","",""
"757","20150310_Wendy_Battleship1",3785000,"63m5s","","","","",""
"765","20150310_Wendy_Battleship1",3825000,"63m45s","","","","",""
"800","20150310_Wendy_Battleship1",4e+06,"66m40s","","","","",""
"801","20150310_Wendy_Battleship1",4005000,"66m45s","","","","",""
"807","20150310_Wendy_Battleship1",4035000,"67m15s","","","","",""
"823","20150310_Wendy_Battleship1",4115000,"68m35s","","","","",""
"827","20150310_Wendy_Battleship1",4135000,"68m55s","","","","",""
"828","20150310_Wendy_Battleship1",4140000,"69m0s","","","","",""
"829","20150310_Wendy_Battleship1",4145000,"69m5s","","","","",""
"845","20150310_Wendy_Battleship1",4225000,"70m25s","","","","",""
"846","20150310_Wendy_Battleship1",4230000,"70m30s","","","","",""
"867","20150310_Wendy_Battleship1",4335000,"72m15s","","","","",""
"872","20150310_Wendy_Battleship1",4360000,"72m40s","","","","",""
"5","20150313_Wendy_Battleship2",25000,"0m25s","","","","",""
"9","20150313_Wendy_Battleship2",45000,"0m45s","","","","",""
"102","20150313_Wendy_Battleship2",50000,"0m50s","","","","",""
"11","20150313_Wendy_Battleship2",55000,"0m55s","","","","",""
"26","20150313_Wendy_Battleship2",130000,"2m10s","","","","",""
"27","20150313_Wendy_Battleship2",135000,"2m15s","","","","",""
"28","20150313_Wendy_Battleship2",140000,"2m20s","","","","",""
"32","20150313_Wendy_Battleship2",160000,"2m40s","","","","",""
"33","20150313_Wendy_Battleship2",165000,"2m45s","","","","",""
"42","20150313_Wendy_Battleship2",210000,"3m30s","","","","",""
"55","20150313_Wendy_Battleship2",275000,"4m35s","","","","",""
"631","20150313_Wendy_Battleship2",315000,"5m15s","","","","",""
"96","20150313_Wendy_Battleship2",480000,"8m0s","","","","",""
"97","20150313_Wendy_Battleship2",485000,"8m5s","","","","",""
"1011","20150313_Wendy_Battleship2",505000,"8m25s","","","","",""
"1451","20150313_Wendy_Battleship2",725000,"12m5s","","","","",""
"168","20150313_Wendy_Battleship2",840000,"14m0s","","","","",""
"170","20150313_Wendy_Battleship2",850000,"14m10s","","","","",""
"1791","20150313_Wendy_Battleship2",895000,"14m55s","","","","",""
"197","20150313_Wendy_Battleship2",985000,"16m25s","","","","",""
"200","20150313_Wendy_Battleship2",1e+06,"16m40s","","","","",""
"201","20150313_Wendy_Battleship2",1005000,"16m45s","","","","",""
"202","20150313_Wendy_Battleship2",1010000,"16m50s","","","","",""
"203","20150313_Wendy_Battleship2",1015000,"16m55s","","","","",""
"206","20150313_Wendy_Battleship2",1030000,"17m10s","","","","",""
"207","20150313_Wendy_Battleship2",1035000,"17m15s","","","","",""
"233","20150313_Wendy_Battleship2",1165000,"19m25s","","","","",""
"236","20150313_Wendy_Battleship2",1180000,"19m40s","","","","",""
"251","20150313_Wendy_Battleship2",1255000,"20m55s","","","","",""
"254","20150313_Wendy_Battleship2",1270000,"21m10s","","","","",""
"257","20150313_Wendy_Battleship2",1285000,"21m25s","","","","",""
"258","20150313_Wendy_Battleship2",1290000,"21m30s","","","","",""
"259","20150313_Wendy_Battleship2",1295000,"21m35s","","","","",""
"268","20150313_Wendy_Battleship2",1340000,"22m20s","","","","",""
"269","20150313_Wendy_Battleship2",1345000,"22m25s","","","","",""
"270","20150313_Wendy_Battleship2",1350000,"22m30s","","","","",""
"273","20150313_Wendy_Battleship2",1365000,"22m45s","","","","",""
"274","20150313_Wendy_Battleship2",1370000,"22m50s","","","","",""
"278","20150313_Wendy_Battleship2",1390000,"23m10s","","","","",""
"279","20150313_Wendy_Battleship2",1395000,"23m15s","","","","",""
"281","20150313_Wendy_Battleship2",1405000,"23m25s","","","","",""
"283","20150313_Wendy_Battleship2",1415000,"23m35s","","","","",""
"284","20150313_Wendy_Battleship2",1420000,"23m40s","","","","",""
"286","20150313_Wendy_Battleship2",1430000,"23m50s","","","","",""
"287","20150313_Wendy_Battleship2",1435000,"23m55s","","","","",""
"288","20150313_Wendy_Battleship2",1440000,"24m0s","","","","",""
"289","20150313_Wendy_Battleship2",1445000,"24m5s","","","","",""
"290","20150313_Wendy_Battleship2",1450000,"24m10s","","","","",""
"291","20150313_Wendy_Battleship2",1455000,"24m15s","","","","",""
"292","20150313_Wendy_Battleship2",1460000,"24m20s","","","","",""
"293","20150313_Wendy_Battleship2",1465000,"24m25s","","","","",""
"294","20150313_Wendy_Battleship2",1470000,"24m30s","","","","",""
"295","20150313_Wendy_Battleship2",1475000,"24m35s","","","","",""
"296","20150313_Wendy_Battleship2",1480000,"24m40s","","","","",""
"297","20150313_Wendy_Battleship2",1485000,"24m45s","","","","",""
"299","20150313_Wendy_Battleship2",1495000,"24m55s","","","","",""
"302","20150313_Wendy_Battleship2",1510000,"25m10s","","","","",""
"303","20150313_Wendy_Battleship2",1515000,"25m15s","","","","",""
"304","20150313_Wendy_Battleship2",1520000,"25m20s","","","","",""
"305","20150313_Wendy_Battleship2",1525000,"25m25s","","","","",""
"306","20150313_Wendy_Battleship2",1530000,"25m30s","","","","",""
"307","20150313_Wendy_Battleship2",1535000,"25m35s","","","","",""
"308","20150313_Wendy_Battleship2",1540000,"25m40s","","","","",""
"309","20150313_Wendy_Battleship2",1545000,"25m45s","","","","",""
"3111","20150313_Wendy_Battleship2",1555000,"25m55s","","","","",""
"312","20150313_Wendy_Battleship2",1560000,"26m0s","","","","",""
"316","20150313_Wendy_Battleship2",1580000,"26m20s","","","","",""
"317","20150313_Wendy_Battleship2",1585000,"26m25s","","","","",""
"325","20150313_Wendy_Battleship2",1625000,"27m5s","","","","",""
"326","20150313_Wendy_Battleship2",1630000,"27m10s","","","","",""
"327","20150313_Wendy_Battleship2",1635000,"27m15s","","","","",""
"330","20150313_Wendy_Battleship2",1650000,"27m30s","","","","",""
"331","20150313_Wendy_Battleship2",1655000,"27m35s","","","","",""
"333","20150313_Wendy_Battleship2",1665000,"27m45s","","","","",""
"334","20150313_Wendy_Battleship2",1670000,"27m50s","","","","",""
"343","20150313_Wendy_Battleship2",1715000,"28m35s","","","","",""
"349","20150313_Wendy_Battleship2",1745000,"29m5s","","","","",""
"353","20150313_Wendy_Battleship2",1765000,"29m25s","","","","",""
"354","20150313_Wendy_Battleship2",1770000,"29m30s","","","","",""
"355","20150313_Wendy_Battleship2",1775000,"29m35s","","","","",""
"356","20150313_Wendy_Battleship2",1780000,"29m40s","","","","",""
"357","20150313_Wendy_Battleship2",1785000,"29m45s","","","","",""
"358","20150313_Wendy_Battleship2",1790000,"29m50s","","","","",""
"364","20150313_Wendy_Battleship2",1820000,"30m20s","","","","",""
"365","20150313_Wendy_Battleship2",1825000,"30m25s","","","","",""
"366","20150313_Wendy_Battleship2",1830000,"30m30s","","","","",""
"367","20150313_Wendy_Battleship2",1835000,"30m35s","","","","",""
"3701","20150313_Wendy_Battleship2",1850000,"30m50s","","","","",""
"3711","20150313_Wendy_Battleship2",1855000,"30m55s","","","","",""
"372","20150313_Wendy_Battleship2",1860000,"31m0s","","","","",""
"377","20150313_Wendy_Battleship2",1885000,"31m25s","","","","",""
"378","20150313_Wendy_Battleship2",1890000,"31m30s","","","","",""
"379","20150313_Wendy_Battleship2",1895000,"31m35s","","","","",""
"380","20150313_Wendy_Battleship2",1900000,"31m40s","","","","",""
"381","20150313_Wendy_Battleship2",1905000,"31m45s","","","","",""
"386","20150313_Wendy_Battleship2",1930000,"32m10s","","","","",""
"387","20150313_Wendy_Battleship2",1935000,"32m15s","","","","",""
"388","20150313_Wendy_Battleship2",1940000,"32m20s","","","","",""
"389","20150313_Wendy_Battleship2",1945000,"32m25s","","","","",""
"391","20150313_Wendy_Battleship2",1955000,"32m35s","","","","",""
"3921","20150313_Wendy_Battleship2",1960000,"32m40s","","","","",""
"393","20150313_Wendy_Battleship2",1965000,"32m45s","","","","",""
"394","20150313_Wendy_Battleship2",1970000,"32m50s","","","","",""
"4001","20150313_Wendy_Battleship2",2e+06,"33m20s","","","","",""
"4011","20150313_Wendy_Battleship2",2005000,"33m25s","","","","",""
"402","20150313_Wendy_Battleship2",2010000,"33m30s","","","","",""
"405","20150313_Wendy_Battleship2",2025000,"33m45s","","","","",""
"409","20150313_Wendy_Battleship2",2045000,"34m5s","","","","",""
"410","20150313_Wendy_Battleship2",2050000,"34m10s","","","","",""
"411","20150313_Wendy_Battleship2",2055000,"34m15s","","","","",""
"4121","20150313_Wendy_Battleship2",2060000,"34m20s","","","","",""
"4131","20150313_Wendy_Battleship2",2065000,"34m25s","","","","",""
"414","20150313_Wendy_Battleship2",2070000,"34m30s","","","","",""
"415","20150313_Wendy_Battleship2",2075000,"34m35s","","","","",""
"427","20150313_Wendy_Battleship2",2135000,"35m35s","","","","",""
"4291","20150313_Wendy_Battleship2",2145000,"35m45s","","","","",""
"434","20150313_Wendy_Battleship2",2170000,"36m10s","","","","",""
"441","20150313_Wendy_Battleship2",2205000,"36m45s","","","","",""
"451","20150313_Wendy_Battleship2",2255000,"37m35s","","","","",""
"4521","20150313_Wendy_Battleship2",2260000,"37m40s","","","","",""
"457","20150313_Wendy_Battleship2",2285000,"38m5s","","","","",""
"458","20150313_Wendy_Battleship2",2290000,"38m10s","","","","",""
"460","20150313_Wendy_Battleship2",2300000,"38m20s","","","","",""
"461","20150313_Wendy_Battleship2",2305000,"38m25s","","","","",""
"464","20150313_Wendy_Battleship2",2320000,"38m40s","","","","",""
"465","20150313_Wendy_Battleship2",2325000,"38m45s","","","","",""
"467","20150313_Wendy_Battleship2",2335000,"38m55s","","","","",""
"468","20150313_Wendy_Battleship2",2340000,"39m0s","","","","",""
"4691","20150313_Wendy_Battleship2",2345000,"39m5s","","","","",""
"470","20150313_Wendy_Battleship2",2350000,"39m10s","","","","",""
