Code,TheoreticalStart,TheoreticalEnd,RealStart,RealEnd,ClassVideoFile,ClassVideoStart,ClassVideoEnd,GroupVideoFile,GroupVideoStart,GroupVideoEnd
S1G1,2014-06-05 09:15:00,2014-06-05 10:15:00,,,,,,,,
S1G2,2014-06-05 09:15:00,2014-06-05 10:15:00,,,,,,,,
S1G3,2014-06-05 09:15:00,2014-06-05 10:15:00,,,,,,,,
S1G4,2014-06-05 09:15:00,2014-06-05 10:15:00,,,,,,,,
S1G5,2014-06-05 09:15:00,2014-06-05 10:15:00,,,,,,,,
S2G1,2014-06-05 10:15:00,2014-06-05 11:15:00,,,,,,,,
S2G2,2014-06-05 10:15:00,2014-06-05 11:15:00,,,,,,,,
S2G4,2014-06-05 10:15:00,2014-06-05 11:15:00,,,,,,,,
S2G5,2014-06-05 10:15:00,2014-06-05 11:15:00,,,,,,,,
S3G1,2014-06-05 11:15:00,2014-06-05 12:15:00,,,,,,,,
S3G2,2014-06-05 11:15:00,2014-06-05 12:15:00,,,,,,,,
S3G3,2014-06-05 11:15:00,2014-06-05 12:15:00,,,,,,,,
S3G4,2014-06-05 11:15:00,2014-06-05 12:15:00,,,,,,,,
S3G5,2014-06-05 11:15:00,2014-06-05 12:15:00,,,,,,,,
S4G1,2014-06-05 13:15:00,2014-06-05 14:15:00,,,,,,,,
S4G2,2014-06-05 13:15:00,2014-06-05 14:15:00,,,,,,,,
S4G3,2014-06-05 13:15:00,2014-06-05 14:15:00,,,,,,,,
S4G4,2014-06-05 13:15:00,2014-06-05 14:15:00,,,,,,,,
S4G5,2014-06-05 13:15:00,2014-06-05 14:15:00,,,,,,,,
S5G1,2014-06-05 14:15:00,2014-06-05 15:15:00,,,,,,,,
S5G2,2014-06-05 14:15:00,2014-06-05 15:15:00,,,,,,,,
S5G3,2014-06-05 14:15:00,2014-06-05 15:15:00,,,,,,,,
S5G4,2014-06-05 14:15:00,2014-06-05 15:15:00,,,,,,,,
S5G5,2014-06-05 14:15:00,2014-06-05 15:15:00,,,,,,,,
S6G1,2014-06-05 15:15:00,2014-06-05 16:15:00,,,,,,,,
S6G2,2014-06-05 15:15:00,2014-06-05 16:15:00,,,,,,,,
S6G3,2014-06-05 15:15:00,2014-06-05 16:15:00,,,,,,,,
S6G4,2014-06-05 15:15:00,2014-06-05 16:15:00,,,,,,,,
S6G5,2014-06-05 15:15:00,2014-06-05 16:15:00,,,,,,,,
