"","Time.ms","Load","Time.min","Session"
"30",150000,0,"2m30s","T3S1"
"31",155000,0,"2m35s","T3S1"
"64",320000,0,"5m20s","T3S1"
"67",335000,0,"5m35s","T3S1"
"80",4e+05,0,"6m40s","T3S1"
"87",435000,0,"7m15s","T3S1"
"115",575000,0,"9m35s","T3S1"
"116",580000,0,"9m40s","T3S1"
"119",595000,0,"9m55s","T3S1"
"128",640000,0,"10m40s","T3S1"
"153",765000,4,"12m45s","T3S1"
"157",785000,4,"13m5s","T3S1"
"158",790000,4,"13m10s","T3S1"
"194",970000,4,"16m10s","T3S1"
"231",1155000,0,"19m15s","T3S1"
"232",1160000,0,"19m20s","T3S1"
"233",1165000,0,"19m25s","T3S1"
"235",1175000,4,"19m35s","T3S1"
"236",1180000,4,"19m40s","T3S1"
"240",1200000,4,"20m0s","T3S1"
"242",1210000,4,"20m10s","T3S1"
"261",1305000,0,"21m45s","T3S1"
"274",1370000,4,"22m50s","T3S1"
"277",1385000,0,"23m5s","T3S1"
"278",1390000,0,"23m10s","T3S1"
"289",1445000,0,"24m5s","T3S1"
"320",1600000,4,"26m40s","T3S1"
"344",1720000,4,"28m40s","T3S1"
"345",1725000,4,"28m45s","T3S1"
"348",1740000,4,"29m0s","T3S1"
"364",1820000,4,"30m20s","T3S1"
"366",1830000,4,"30m30s","T3S1"
"372",1860000,4,"31m0s","T3S1"
"386",1930000,4,"32m10s","T3S1"
"395",1975000,0,"32m55s","T3S1"
"414",2070000,0,"34m30s","T3S1"
"456",2280000,0,"38m0s","T3S1"
"457",2285000,0,"38m5s","T3S1"
"491",2455000,4,"40m55s","T3S1"
