"","Time.ms","Time.min","Session","Load"
"1",25000,"0m25s","3",4
"2",30000,"0m30s","3",4
"3",35000,"0m35s","3",4
"4",40000,"0m40s","3",4
"5",350000,"5m50s","3",4
"6",355000,"5m55s","3",4
"7",360000,"6m0s","3",4
"8",365000,"6m5s","3",4
"9",370000,"6m10s","3",4
"10",375000,"6m15s","3",4
"11",380000,"6m20s","3",4
"12",435000,"7m15s","3",4
"13",440000,"7m20s","3",4
"14",885000,"14m45s","3",4
"15",935000,"15m35s","3",4
"16",1275000,"21m15s","3",4
"17",1280000,"21m20s","3",4
"18",1285000,"21m25s","3",4
"19",1290000,"21m30s","3",4
"20",1295000,"21m35s","3",4
"21",1300000,"21m40s","3",4
"22",1305000,"21m45s","3",4
"23",1580000,"26m20s","3",4
"24",1780000,"29m40s","3",4
"25",2020000,"33m40s","3",4
"26",2025000,"33m45s","3",4
"27",2035000,"33m55s","3",4
"28",2040000,"34m0s","3",4
"29",2045000,"34m5s","3",4
"30",2100000,"35m0s","3",4
"31",2140000,"35m40s","3",4
"32",2145000,"35m45s","3",4
"33",2150000,"35m50s","3",4
"34",2155000,"35m55s","3",4
