"","Time.ms","Time.min","Session","Load"
"1",3e+05,"5m0s","6",0
"2",305000,"5m5s","6",0
"3",310000,"5m10s","6",0
"4",360000,"6m0s","6",0
"5",365000,"6m5s","6",0
"6",375000,"6m15s","6",0
"7",380000,"6m20s","6",0
"8",405000,"6m45s","6",0
"9",410000,"6m50s","6",0
"10",485000,"8m5s","6",0
"11",490000,"8m10s","6",0
"12",495000,"8m15s","6",0
"13",5e+05,"8m20s","6",0
"14",505000,"8m25s","6",0
"15",510000,"8m30s","6",0
"16",545000,"9m5s","6",0
"17",550000,"9m10s","6",0
"18",645000,"10m45s","6",0
"19",650000,"10m50s","6",0
"20",655000,"10m55s","6",0
"21",660000,"11m0s","6",0
"22",665000,"11m5s","6",0
"23",670000,"11m10s","6",0
"24",880000,"14m40s","6",0
"25",885000,"14m45s","6",0
"26",890000,"14m50s","6",0
"27",895000,"14m55s","6",0
"28",9e+05,"15m0s","6",0
"29",905000,"15m5s","6",0
"30",910000,"15m10s","6",0
"31",915000,"15m15s","6",0
"32",975000,"16m15s","6",0
"33",1050000,"17m30s","6",0
"34",1065000,"17m45s","6",0
"35",1095000,"18m15s","6",0
"36",1105000,"18m25s","6",0
"37",1120000,"18m40s","6",0
"38",1125000,"18m45s","6",0
"39",1130000,"18m50s","6",0
"40",1135000,"18m55s","6",0
"41",1140000,"19m0s","6",0
"42",1145000,"19m5s","6",0
"43",1150000,"19m10s","6",0
"44",1360000,"22m40s","6",0
"45",1365000,"22m45s","6",0
"46",1370000,"22m50s","6",0
"47",1375000,"22m55s","6",0
"48",1380000,"23m0s","6",0
"49",1390000,"23m10s","6",0
"50",1395000,"23m15s","6",0
"51",1400000,"23m20s","6",0
"52",1405000,"23m25s","6",0
"53",1435000,"23m55s","6",0
"54",1440000,"24m0s","6",0
"55",1445000,"24m5s","6",0
"56",1450000,"24m10s","6",0
"57",1455000,"24m15s","6",0
"58",1515000,"25m15s","6",0
"59",1520000,"25m20s","6",0
"60",1525000,"25m25s","6",0
"61",1530000,"25m30s","6",0
"62",1535000,"25m35s","6",0
"63",1540000,"25m40s","6",0
"64",1545000,"25m45s","6",0
"65",1580000,"26m20s","6",0
"66",1585000,"26m25s","6",0
"67",1590000,"26m30s","6",0
"68",1630000,"27m10s","6",0
"69",1635000,"27m15s","6",0
"70",1660000,"27m40s","6",0
"71",1685000,"28m5s","6",0
"72",1695000,"28m15s","6",0
"73",1700000,"28m20s","6",0
"74",1705000,"28m25s","6",0
"75",1710000,"28m30s","6",0
"76",1715000,"28m35s","6",0
"77",1720000,"28m40s","6",0
"78",1725000,"28m45s","6",0
"79",1730000,"28m50s","6",0
"80",1735000,"28m55s","6",0
"81",1740000,"29m0s","6",0
"82",1775000,"29m35s","6",0
"83",1780000,"29m40s","6",0
"84",1785000,"29m45s","6",0
"85",1790000,"29m50s","6",0
"86",1795000,"29m55s","6",0
"87",1800000,"30m0s","6",0
"88",1805000,"30m5s","6",0
"89",1815000,"30m15s","6",0
"90",1820000,"30m20s","6",0
"91",1825000,"30m25s","6",0
"92",1830000,"30m30s","6",0
"93",1835000,"30m35s","6",0
"94",1840000,"30m40s","6",0
"95",1845000,"30m45s","6",0
"96",1850000,"30m50s","6",0
"97",1855000,"30m55s","6",0
"98",1860000,"31m0s","6",0
"99",1865000,"31m5s","6",0
"100",1870000,"31m10s","6",0
"101",1875000,"31m15s","6",0
"102",1880000,"31m20s","6",0
"103",1885000,"31m25s","6",0
"104",1975000,"32m55s","6",0
"105",1980000,"33m0s","6",0
"106",1985000,"33m5s","6",0
"107",1990000,"33m10s","6",0
"108",2230000,"37m10s","6",0
"109",2235000,"37m15s","6",0
"110",2240000,"37m20s","6",0
"111",2245000,"37m25s","6",0
"112",2250000,"37m30s","6",0
