Frame.Number,Timestamp.ms,Max.Intensity,Min.Intensity
0,0,221,0
1,100,221,0
2,200,252,4
3,300,222,2
4,400,224,6
5,500,214,0
6,600,222,1
7,700,227,1
8,800,231,1
9,900,226,4
10,1000,255,1
11,1100,248,4
12,1200,255,0
13,1300,252,0
14,1400,255,0
15,1500,255,0
16,1600,255,0
17,1700,255,1
18,1800,255,2
19,1900,240,12
20,2000,252,4
21,2100,255,4
22,2200,255,0
23,2300,252,1
24,2400,254,10
25,2500,254,6
26,2600,254,4
27,2700,255,4
28,2800,255,24
29,2900,253,22
30,3000,254,26
31,3100,248,24
32,3200,251,15
33,3300,254,24
34,3400,251,16
35,3500,253,4
36,3600,253,24
37,3700,251,24
38,3800,255,21
39,3900,247,19
40,4000,247,16
41,4100,247,9
42,4200,242,15
43,4300,224,16
44,4400,224,14
45,4500,247,19
46,4600,253,21
47,4700,249,18
48,4800,254,8
49,4900,234,15
50,5000,233,15
51,5100,255,12
52,5200,254,9
53,5300,255,7
54,5400,255,8
55,5500,255,4
56,5600,255,8
57,5700,254,9
58,5800,255,8
59,5900,255,1
60,6000,255,8
61,6100,255,5
62,6200,254,11
63,6300,255,9
64,6400,255,8
65,6500,255,9
66,6600,255,21
67,6700,255,6
68,6800,254,14
69,6900,255,5
70,7000,255,4
71,7100,255,11
72,7200,255,11
73,7300,255,9
74,7400,255,10
75,7500,255,11
76,7600,255,6
77,7700,255,9
78,7800,255,15
79,7900,255,14
80,8000,255,11
81,8100,255,14
82,8200,255,12
83,8300,255,12
84,8400,255,11
85,8500,255,15
86,8600,255,6
87,8700,255,10
88,8800,255,14
89,8900,255,12
90,9000,255,10
91,9100,255,16
92,9200,245,14
93,9300,251,23
94,9400,253,11
95,9500,255,19
96,9600,255,11
97,9700,255,10
98,9800,255,16
99,9900,255,19
100,10000,255,19
101,10100,255,17
102,10200,255,18
103,10300,255,19
104,10400,255,19
105,10500,255,15
106,10600,255,10
107,10700,255,17
108,10800,255,16
109,10900,255,13
110,11000,255,17
111,11100,255,19
112,11200,255,22
113,11300,254,23
114,11400,254,12
115,11500,254,10
116,11600,255,11
117,11700,255,12
118,11800,254,15
119,11900,255,12
120,12000,254,15
121,12100,255,12
122,12200,255,17
123,12300,255,18
124,12400,255,19
125,12500,255,11
126,12600,254,8
127,12700,255,12
128,12800,255,11
129,12900,255,10
130,13000,255,6
131,13100,255,1
132,13200,252,2
133,13300,251,7
134,13400,249,9
135,13500,254,11
136,13600,237,14
137,13700,254,18
138,13800,254,7
139,13900,254,18
140,14000,253,22
141,14100,255,19
142,14200,255,18
143,14300,250,16
144,14400,254,13
145,14500,253,16
146,14600,251,16
147,14700,253,15
148,14800,255,15
