Code,Lamp #,TheoreticalStart,TheoreticalEnd,RealStart,RealEnd,ClassVideoFile,ClassVideoStart,ClassVideoEnd,GroupVideoFile,GroupVideoStart,GroupVideoEnd
S1G1,1,2014-06-05 09:15:00,2014-06-05 10:15:00,2014-06-05 09:25:43.455,2014-06-05 09:56:43.636,,,,,,
S1G2,2,2014-06-05 09:15:00,2014-06-05 10:15:00,2014-06-05 09:25:26.930,2014-06-05 09:56:46.169,,,,,,
S1G3,3,2014-06-05 09:15:00,2014-06-05 10:15:00,2014-06-05 09:25:30.780,2014-06-05 09:56:36.587,,,,,,
S1G4,4,2014-06-05 09:15:00,2014-06-05 10:15:00,2014-06-05 09:26:00.831,2014-06-05 09:56:26.572,,,,,,
S1G5,5,2014-06-05 09:15:00,2014-06-05 10:15:00,2014-06-05 09:26:00.706,2014-06-05 09:56:38.852,,,,,,
S2G1,1,2014-06-05 10:15:00,2014-06-05 11:15:00,2014-06-05 10:20:56.685,2014-06-05 10:52:22.101,20140605_Session2_ClassCamera.mp4,,,,,
S2G2,2,2014-06-05 10:15:00,2014-06-05 11:15:00,2014-06-05 10:21:09.910,2014-06-05 10:51:11.551,20140605_Session2_ClassCamera.mp4,,,,,
S2G3a,3,2014-06-05 10:15:00,2014-06-05 11:15:00,2014-06-05 10:21:29.165,2014-06-05 10:31:13.175,20140605_Session2_ClassCamera.mp4,,22:18 (aprox),,,
S2G3b,4,2014-06-05 10:15:00,2014-06-05 11:15:00,2014-06-05 10:32:51.670,2014-06-05 10:53:23.425,20140605_Session2_ClassCamera.mp4,22:18,,,,
S2G4a,4,2014-06-05 10:15:00,2014-06-05 11:15:00,2014-06-05 10:20:34.813,2014-06-05 10:26:45.583,20140605_Session2_ClassCamera.mp4,10:01,16:43,,,
S2G4b,5,2014-06-05 10:15:00,2014-06-05 11:15:00,2014-06-05 10:27:10.843,2014-06-05 10:53:51.030,20140605_Session2_ClassCamera.mp4,16:43(aprox),,,,
S3G1,1,2014-06-05 11:15:00,2014-06-05 12:15:00,2014-06-05 11:17:05.564,2014-06-05 11:52:48.558,20140605_Session3_ClassCamera.mp4,,,,,
S3G2,2,2014-06-05 11:15:00,2014-06-05 12:15:00,2014-06-05 11:16:47.511,2014-06-05 11:51:21.708,20140605_Session3_ClassCamera.mp4,,,,,
S3G3,3,2014-06-05 11:15:00,2014-06-05 12:15:00,2014-06-05 11:17:26.576,2014-06-05 11:54:22.867,20140605_Session3_ClassCamera.mp4,,,,,
S3G4,4,2014-06-05 11:15:00,2014-06-05 12:15:00,2014-06-05 11:17:14.600,2014-06-05 11:52:53.036,20140605_Session3_ClassCamera.mp4,,,,,
S3G5,5,2014-06-05 11:15:00,2014-06-05 12:15:00,2014-06-05 11:18:41.294,2014-06-05 11:53:03.293,20140605_Session3_ClassCamera.mp4,,,,,
S4G1,1,2014-06-05 13:15:00,2014-06-05 14:15:00,2014-06-05 13:31:44.130,2014-06-05 14:08:58.719,20140605_Session4_ClassCamera.mp4,,,,,
S4G2,2,2014-06-05 13:15:00,2014-06-05 14:15:00,2014-06-05 13:31:38.212,2014-06-05 13:59:53.128,20140605_Session4_ClassCamera.mp4,,,,,
S4G3,3,2014-06-05 13:15:00,2014-06-05 14:15:00,2014-06-05 13:32:49.864,2014-06-05 13:55:52.149,20140605_Session4_ClassCamera.mp4,,,,,
S4G4,4,2014-06-05 13:15:00,2014-06-05 14:15:00,2014-06-05 13:31:52.807,2014-06-05 13:53:43.747,20140605_Session4_ClassCamera.mp4,,,,,
S4G5,5,2014-06-05 13:15:00,2014-06-05 14:15:00,2014-06-05 13:40:23.489,2014-06-05 13:54:41.779,20140605_Session4_ClassCamera.mp4,,,,,
S6G1,1,2014-06-05 15:15:00,2014-06-05 16:15:00,2014-06-05 15:29:57.389,2014-06-05 16:01:34.211,20140605_Session6_ClassCamera.mp4,,,,,
S6G2,2,2014-06-05 15:15:00,2014-06-05 16:15:00,2014-06-05 15:29:58.162,2014-06-05 15:57:29.826,20140605_Session6_ClassCamera.mp4,,,,,
S6G3,3,2014-06-05 15:15:00,2014-06-05 16:15:00,2014-06-05 15:31:29.957,2014-06-05 15:58:36.085,20140605_Session6_ClassCamera.mp4,,,,,
S6G4,4,2014-06-05 15:15:00,2014-06-05 16:15:00,2014-06-05 15:35:51.435,2014-06-05 15:59:13.702,20140605_Session6_ClassCamera.mp4,,,,,
S6G5,5,2014-06-05 15:15:00,2014-06-05 16:15:00,2014-06-05 15:32:30.382,2014-06-05 15:59:10.758,20140605_Session6_ClassCamera.mp4,,,,,
S5G1,1,2014-06-05 14:15:00,2014-06-05 15:15:00,2014-06-05 14:36:49.018,2014-06-05 14:57:29.564,20140605_Session5_ClassCamera.mp4,,,,,
S5G2,2,2014-06-05 14:15:00,2014-06-05 15:15:00,2014-06-05 14:39:51.567,2014-06-05 14:55:05.293,20140605_Session5_ClassCamera.mp4,,,,,
S5G3,3,2014-06-05 14:15:00,2014-06-05 15:15:00,2014-06-05 14:34:32.900,2014-06-05 14:54:44.115,20140605_Session5_ClassCamera.mp4,,,,,
S5G4,4,2014-06-05 14:15:00,2014-06-05 15:15:00,2014-06-05 14:32:06.023,2014-06-05 14:56:38.841,20140605_Session5_ClassCamera.mp4,,,,,
S5G5,5,2014-06-05 14:15:00,2014-06-05 15:15:00,2014-06-05 14:44:32.662,2014-06-05 14:57:16.442,20140605_Session5_ClassCamera.mp4,,,,,
