Session,Group,Code,Strategy (FR),Strategy (EN),Does the group talk about fractions?[DL],Does the group talk about fractions? [WEN],Does the group talk about fractions? [LP],Does the group talk about fractions?[FINAL],Does the group understand the rule of the game [DL],Does the group understand the rule of the game [WEN],Does the group understand the rule of the game [LP],Does the group understand the rule of the game [based on the video data],Does the group understand the rule of the game [FINAL_Temp]
1,1,S1G1,Mettre la fraction la plus forte dans la direction souhaitée et mettre la plus faible dans la direction opposée,Put the highest fraction in the desired direction and put the lowest one in the opposite direction,YES,Y,YES,1,YES,Y,YES,NA,1
,2,S1G2,La façon que je prefere et celle de mon prof de Math elle est plus simple mais j'ai aussi aime cette façon mais reste a meliore. J'aime la façon que notre Prof de Math nous apprend les fractions mais s'est aussi mieux** la tecnologie,The way that I prefer is my Math Prof's way it's simpler but I also like this way but this way have some things to improve. I love the way which our Prof teach us the fractions but it's also better the technology,-,Y,YES,1,NO,Y,NO,NA,0
,3,S1G3,L'aide (circular-cont) c'est la meilleure. Les 3/5 c'est la meilleure façon de faire bouger la coccinelle,The circular-cont help is the best. The 3/5 is the best way to move the ladybug,YES,Y?,NO?,1,YES,Y,NO,NA,1
,4,S1G4,La stratégie avec les jeton est la meilleure et la plus rapide,The strategy with the tokens is the best and the fastest,NO,N,NO?,0,NO,N,NO,NA,0
,5,S1G5,"Les parts de gâteau etaient les plus faciles et la meilleure aide etait le 0.6. Pour aller plus vite il faut mettre: pour monter tout droit, il faut egaliser deux cotes oposes","The parts of the cake was the easiest one and the best help was the 0.6. To go faster, you have to put: to go straight, you have to make the oposite sides equal",?,N?,NO?,0,YES,Y,YES,NA,1
2,1,S2G1,Avec l'aide du cercle. Si l'on veut monter on égalise les côtés et pour aller de gauche à droite on égalise en haut et en bas,"With the help of the circle. If you want to go up, make the sides equal and to go from left to right, make the top and bottom equal",?,N,NO?,0,YES,Y,YES,?,1
,2,S2G2,"Bien réfléchir avant un déplacement, trouver les fractions identiques, les déplacements de la coccinelle sont par carrés, bien regarder les pourcentages","Think carefully before the movement, find the identical fractions, the ladybug movements are per square, watch the percentages",YES,Y,YES,1,YES?,Y,YES?,,1
,4,S2G4,Les codes à virgule nous ont le plus aide. Il faut faire beaucoups d'essais!,The decimal gave us best help. You have to make a lot of tries!,NO,N?,NO,0,NO,N,NO,NA,0
,5??,S2G5,On a choisi l'aide des chiffres décimaux,We choose the help with decimal numbers,?,N,NO,0,NO,?,NO,NA,0
3,1,S3G1,Il faut mettre plus ou on veut que la coccinelle aille,You have to put more where you want the ladybug goes,NO,N,NO,0,YES,Y,YES,1,1
,2,S3G2,Il faut bouger les cartes: mettre la plus grande nombre où la coccinel doit aller,You have to move the cards: put the greatest number where the ladybug must go,,N,NO?,0,YES,Y,YES,0,0
,3,S3G3,Nous avons utilisé la stratégie avec les ronds et les rectangles,We used the strategy with the circles and the rectangles,NO,N,NO,0,NO,N,NO,1,1
,4,S3G4,Alors pour avancer: en haut il fait que les 2 côtés sois égaux et que devant sois plus grand que derrière. Pour aller à droite: il faut que le nombre gauche sait plus petit que le nombre droite. Pour reculer et aller à gauche il faut faire l'inverse que pour aller en avant et que pour aller à droite,"To avance: to the top, make the two sides equal and in front greater than the behind one. To go to the right: make the left number smaller than the one in the right. To move back and to go to the left, you have to do the inverse as to avance and go to the right",?,N,NO?,0,YES,Y,YES,1,1
,5,S3G5,Les (circular - cont) et les (rect - cont),The (circular-cont) and the (rect-cont),NO,N,NO,0,NO,N,NO,0,0
4,1,S4G1,Chacun s'occupait d'un côté. Nous avons préféré les cartes n 6 et 7,Each one was dealing with one side. We preferred the maps n 6 and 7,NO,N,NO,0,NO,N,NO,1,1
,2,S4G2,Il faut bien discuter entre nous avant de déplacer les cartes,We must discuss among ourselves before moving the cards,NO,N,NO,0,NO,N,NO?,?,0
,3,S4G3,"On se disait: ""Toi, tu montes la fraction ou descend-la"". On traivaillait en groupe",,NO,,NO,0,YES?,,NO?,1,1
,4,S4G4,Nous avons attirer la coccinelle avec des assiettes pleines et des vides. Elle a logiquement été vers l'assiette plaine,"We attracted the ladybug with full and empty plates. Logically, whe went towards the full plate",?,N,NO,0,YES,N,YES,?,1
,5,S4G5,C'etait plus facile avec les conteurs de proportionnalité,It was more easy with the *conteurs* (tokens?) of proportionality,YES,Y,NO?,1,NO,?,NO,?,0
