Session,Group Number,Student Number,Q1.More.Fun,Q2.Concrete.Repr,Q3.Continuous.Repr,Sequence
1,S1G1,1,4,4,5,1
1,S1G1,2,3,5,5,1
1,S1G1,3,4,4,4,1
1,S1G1,4,4,5,4,1
1,S1G2,1,4,5,5,2
1,S1G2,2,4,5,5,2
1,S1G2,3,5,4,4,2
1,S1G3,1,5,1,5,1
1,S1G3,2,4,1,2,1
1,S1G3,3,4,1,4,1
1,S1G3,4,5,5,5,1
1,S1G4,1,3,5,5,2
1,S1G4,2,3,5,4,2
1,S1G4,3,3,5,3,2
1,S1G4,4,3,5,4,2
1,S1G5,1,4,5,5,1
1,S1G5,2,5,5,5,1
1,S1G5,3,5,3,5,1
1,S1G5,4,4,4,5,1
2,S2G1,1,5,2,4,1
2,S2G1,2,5,2,5,1
2,S2G1,3,5,1,5,1
2,S2G1,4,5,1,5,1
2,S2G2,1,4,4,2,2
2,S2G2,2,4,5,4,2
2,S2G2,3,4,3,3,2
2,S2G2,4,3,4,5,2
2,S2G4,1,5,4,5,2
2,S2G4,2,5,5,5,2
2,S2G4,3,5,5,5,2
2,S2G4,4,5,4,5,2
2,S2G5,1,5,5,5,1
2,S2G5,2,5,5,5,1
2,S2G5,3,5,5,5,1
2,S2G5,4,5,5,5,1
3,S3G1,1,5,5,5,1
3,S3G1,2,5,5,5,1
3,S3G1,3,5,5,4,1
3,S3G1,4,5,5,5,1
3,S3G1,5,5,5,5,1
3,S3G1,6,5,5,5,1
3,S3G2,1,4,4,4,2
3,S3G2,2,4,4,4,2
3,S3G2,3,4,3,4,2
3,S3G2,4,4,4,3,2
3,S3G2,5,4,5,5,2
3,S3G3,1,5,5,5,1
3,S3G3,2,5,5,5,1
3,S3G3,3,5,5,5,1
3,S3G3,4,5,5,5,1
3,S3G3,5,5,5,5,1
3,S3G4,1,5,5,2,2
3,S3G4,2,5,3,3,2
3,S3G4,3,5,5,3,2
3,S3G4,4,4,5,3,2
3,S3G4,5,4,5,1,2
3,S3G5,1,5,5,3,1
3,S3G5,2,5,5,4,1
3,S3G5,3,5,5,5,1
3,S3G5,4,5,5,4,1
4,S4G1,1,5,5,5,1
4,S4G1,2,5,5,5,1
4,S4G1,3,4,4,4,1
4,S4G1,4,5,5,5,1
4,S4G2,1,5,5,5,2
4,S4G2,2,3,5,4,2
4,S4G2,3,5,5,5,2
4,S4G2,4,5,5,5,2
4,S4G3,1,4,4,4,1
4,S4G3,2,5,3,4,1
4,S4G3,3,4,4,4,1
4,S4G3,4,5,3,5,1
4,S4G4,1,5,5,1,2
4,S4G4,2,5,5,5,2
4,S4G4,3,5,5,5,2
4,S4G4,4,5,5,5,2
4,S4G5,1,5,3,3,1
4,S4G5,2,5,2,5,1
4,S4G5,3,5,5,3,1
6,S6G1,1,5,5,5,1
6,S6G1,2,4,5,5,1
6,S6G1,3,5,5,5,1
6,S6G1,4,5,5,5,1
6,S6G2,1,4,1,5,2
6,S6G2,2,5,1,1,2
6,S6G2,3,4,4,5,2
6,S6G2,4,4,1,3,2
6,S6G3,1,3,3,5,1
6,S6G3,2,4,5,5,1
6,S6G3,3,4,3,1,1
6,S6G3,4,4,5,5,1
6,S6G4,1,5,3,5,2
6,S6G4,2,3,3,5,2
6,S6G4,3,5,3,5,2
6,S6G4,4,4,3,5,2
6,S6G5,1,3,1,1,1
6,S6G5,2,3,1,1,1
6,S6G5,3,3,1,1,1
6,S6G5,4,3,1,1,1
