Trial,Subject,Color,Name,Stimulus,Start Time [ms],End Time [ms],Fixation Start [ms],Fixation Duration [ms],Fixation End [ms],Position X,Position Y,Average Pupil Size [px] X,Average Pupil Size [px] Y,Average Pupil Diameter [mm],Dispersion X,Dispersion Y,Eye,Number,
Trial001,Participant 11-2-unified,Coral,Participant 11,participant 11-2-recording.avi,0,2828246,99,465,565,955.9,420.6,95.4,88.2,4.4,47.0,20.0,Binocular,1,
Trial001,Participant 11-2-unified,Coral,Participant 11,participant 11-2-recording.avi,0,2828246,632,99,732,1147.3,422.9,96.0,94.0,4.5,8.0,0.0,Binocular,2,
Trial001,Participant 11-2-unified,Coral,Participant 11,participant 11-2-recording.avi,0,2828246,798,598,1397,1130.8,419.8,95.4,93.2,4.5,103.0,9.0,Binocular,3,
Trial001,Participant 11-2-unified,Coral,Participant 11,participant 11-2-recording.avi,0,2828246,1597,199,1797,994.2,413.7,91.0,86.5,4.4,7.0,8.0,Binocular,4,
Trial001,Participant 11-2-unified,Coral,Participant 11,participant 11-2-recording.avi,0,2828246,1863,166,2029,1058.9,411.7,92.8,90.2,4.4,39.0,1.0,Binocular,5,
Trial001,Participant 11-2-unified,Coral,Participant 11,participant 11-2-recording.avi,0,2828246,2096,199,2296,1011.5,414.6,94.3,89.8,4.5,37.0,39.0,Binocular,6,
Trial001,Participant 11-2-unified,Coral,Participant 11,participant 11-2-recording.avi,0,2828246,2395,399,2795,1065.4,401.8,97.3,92.3,4.6,14.0,16.0,Binocular,7,
Trial001,Participant 11-2-unified,Coral,Participant 11,participant 11-2-recording.avi,0,2828246,2994,266,3260,808.5,390.4,98.0,81.8,4.6,203.0,18.0,Binocular,8,
Trial001,Participant 11-2-unified,Coral,Participant 11,participant 11-2-recording.avi,0,2828246,3327,133,3460,840.8,390.7,97.8,83.3,4.5,65.0,7.0,Binocular,9,
Trial001,Participant 11-2-unified,Coral,Participant 11,participant 11-2-recording.avi,0,2828246,3527,99,3626,907.0,441.4,96.0,90.0,4.4,12.0,25.0,Binocular,10,
Trial001,Participant 11-2-unified,Coral,Participant 11,participant 11-2-recording.avi,0,2828246,3826,133,3959,1805.3,460.7,96.0,100.5,4.6,98.0,20.0,Binocular,11,
Trial001,Participant 11-2-unified,Coral,Participant 11,participant 11-2-recording.avi,0,2828246,4292,99,4392,1457.9,422.7,103.0,104.7,4.8,58.0,5.0,Binocular,12,
Trial001,Participant 11-2-unified,Coral,Participant 11,participant 11-2-recording.avi,0,2828246,4458,66,4525,1849.4,432.2,102.0,105.5,4.9,29.0,2.0,Binocular,13,
Trial001,Participant 11-2-unified,Coral,Participant 11,participant 11-2-recording.avi,0,2828246,4625,166,4791,1769.7,432.7,102.0,106.2,4.9,49.0,4.0,Binocular,14,
Trial001,Participant 11-2-unified,Coral,Participant 11,participant 11-2-recording.avi,0,2828246,4891,232,5124,1629.6,446.3,102.3,107.4,4.9,40.0,3.0,Binocular,15,
Trial001,Participant 11-2-unified,Coral,Participant 11,participant 11-2-recording.avi,0,2828246,5191,99,5290,1591.4,437.0,103.0,107.0,4.9,8.0,5.0,Binocular,16,
Trial001,Participant 11-2-unified,Coral,Participant 11,participant 11-2-recording.avi,0,2828246,5357,366,5723,1399.6,438.7,103.1,105.1,4.8,72.0,8.0,Binocular,17,
Trial001,Participant 11-2-unified,Coral,Participant 11,participant 11-2-recording.avi,0,2828246,5790,99,5889,1408.8,444.4,104.0,107.3,4.8,14.0,0.0,Binocular,18,
Trial001,Participant 11-2-unified,Coral,Participant 11,participant 11-2-recording.avi,0,2828246,5956,66,6022,1454.9,446.4,106.0,108.0,4.9,31.0,2.0,Binocular,19,
Trial001,Participant 11-2-unified,Coral,Participant 11,participant 11-2-recording.avi,0,2828246,6089,66,6156,1432.5,440.7,106.5,109.0,4.9,11.0,0.0,Binocular,20,
Trial001,Participant 11-2-unified,Coral,Participant 11,participant 11-2-recording.avi,0,2828246,6222,166,6388,1409.2,437.1,107.6,109.2,4.9,39.0,2.0,Binocular,21,
Trial001,Participant 11-2-unified,Coral,Participant 11,participant 11-2-recording.avi,0,2828246,6455,66,6522,1381.9,438.7,108.5,110.0,4.9,42.0,0.0,Binocular,22,
Trial001,Participant 11-2-unified,Coral,Participant 11,participant 11-2-recording.avi,0,2828246,6621,365,6987,1384.3,433.1,111.7,111.7,5.1,81.0,6.0,Binocular,23,
Trial001,Participant 11-2-unified,Coral,Participant 11,participant 11-2-recording.avi,0,2828246,7054,299,7353,1323.7,430.2,112.1,111.6,5.1,25.0,4.0,Binocular,24,
