Trial,Subject,Color,Name,Stimulus,Start Time [ms],End Time [ms],Saccade Start [ms],Saccade Duration [ms],Saccade End [ms],StartPosition X,StartPosition Y,EndPosition X,EndPosition Y,Amplitude [°],Acceleration  Average [°/s²],Acceleration  Peak [°/s²],Deceleration  Peak [°/s²],Velocity  Average [°/s],Velocity  Peak [°/s],Peak Velocity at [%],Eye,Number,
Trial001,Participant 11-2-unified,Coral,Participant 11,participant 11-2-recording.avi,0,2828246,33,66,99,1025.9,446.0,921.5,432.1,8.8,-,-,-,-,-,-,Binocular,1,
Trial001,Participant 11-2-unified,Coral,Participant 11,participant 11-2-recording.avi,0,2828246,565,66,632,1000.0,412.0,1119.9,420.3,6.8,-,-,-,-,-,-,Binocular,2,
Trial001,Participant 11-2-unified,Coral,Participant 11,participant 11-2-recording.avi,0,2828246,732,66,798,1118.8,421.2,1085.3,420.1,2.7,-,-,-,-,-,-,Binocular,3,
Trial001,Participant 11-2-unified,Coral,Participant 11,participant 11-2-recording.avi,0,2828246,1397,66,1464,1160.0,416.0,1167.4,418.4,0.5,-,-,-,-,-,-,Binocular,4,
Trial001,Participant 11-2-unified,Coral,Participant 11,participant 11-2-recording.avi,0,2828246,1497,99,1597,1175.7,420.1,997.4,421.3,8.4,-,-,-,-,-,-,Binocular,5,
Trial001,Participant 11-2-unified,Coral,Participant 11,participant 11-2-recording.avi,0,2828246,1797,66,1863,1009.5,411.6,1041.2,415.3,1.9,-,-,-,-,-,-,Binocular,6,
Trial001,Participant 11-2-unified,Coral,Participant 11,participant 11-2-recording.avi,0,2828246,2029,66,2096,1057.0,408.1,1032.6,403.3,1.8,-,-,-,-,-,-,Binocular,7,
Trial001,Participant 11-2-unified,Coral,Participant 11,participant 11-2-recording.avi,0,2828246,2296,99,2395,1031.1,410.3,1060.2,397.5,2.0,-,-,-,-,-,-,Binocular,8,
Trial001,Participant 11-2-unified,Coral,Participant 11,participant 11-2-recording.avi,0,2828246,2795,66,2861,1070.0,414.5,1084.6,416.7,0.9,-,-,-,-,-,-,Binocular,9,
Trial001,Participant 11-2-unified,Coral,Participant 11,participant 11-2-recording.avi,0,2828246,2894,99,2994,939.7,418.5,650.6,415.9,20.6,-,-,-,-,-,-,Binocular,10,
Trial001,Participant 11-2-unified,Coral,Participant 11,participant 11-2-recording.avi,0,2828246,3260,66,3327,892.8,387.5,796.5,395.4,4.8,-,-,-,-,-,-,Binocular,11,
Trial001,Participant 11-2-unified,Coral,Participant 11,participant 11-2-recording.avi,0,2828246,3460,66,3527,885.5,385.3,877.4,429.9,2.5,-,-,-,-,-,-,Binocular,12,
Trial001,Participant 11-2-unified,Coral,Participant 11,participant 11-2-recording.avi,0,2828246,3626,199,3826,895.5,413.1,1859.8,470.3,41.4,-,-,-,-,-,-,Binocular,13,
Trial001,Participant 11-2-unified,Coral,Participant 11,participant 11-2-recording.avi,0,2828246,3959,66,4026,1647.7,436.6,1518.2,425.8,11.3,-,-,-,-,-,-,Binocular,14,
Trial001,Participant 11-2-unified,Coral,Participant 11,participant 11-2-recording.avi,0,2828246,4059,66,4126,1616.5,419.6,2018.4,431.5,20.8,-,-,-,-,-,-,Binocular,15,
Trial001,Participant 11-2-unified,Coral,Participant 11,participant 11-2-recording.avi,0,2828246,4159,133,4292,2140.0,428.3,1491.7,420.1,27.7,-,-,-,-,-,-,Binocular,16,
Trial001,Participant 11-2-unified,Coral,Participant 11,participant 11-2-recording.avi,0,2828246,4392,66,4458,1568.1,432.0,1823.7,428.8,18.0,-,-,-,-,-,-,Binocular,17,
Trial001,Participant 11-2-unified,Coral,Participant 11,participant 11-2-recording.avi,0,2828246,4525,99,4625,1816.6,433.0,1756.8,432.2,5.7,-,-,-,-,-,-,Binocular,18,
Trial001,Participant 11-2-unified,Coral,Participant 11,participant 11-2-recording.avi,0,2828246,4791,99,4891,1726.8,437.7,1633.2,444.9,5.4,-,-,-,-,-,-,Binocular,19,
Trial001,Participant 11-2-unified,Coral,Participant 11,participant 11-2-recording.avi,0,2828246,5124,66,5191,1643.7,447.3,1605.3,442.9,1.8,-,-,-,-,-,-,Binocular,20,
Trial001,Participant 11-2-unified,Coral,Participant 11,participant 11-2-recording.avi,0,2828246,5290,66,5357,1591.6,433.5,1452.8,441.0,6.5,-,-,-,-,-,-,Binocular,21,
Trial001,Participant 11-2-unified,Coral,Participant 11,participant 11-2-recording.avi,0,2828246,5723,66,5790,1432.7,443.6,1400.1,442.9,1.8,-,-,-,-,-,-,Binocular,22,
Trial001,Participant 11-2-unified,Coral,Participant 11,participant 11-2-recording.avi,0,2828246,5889,66,5956,1415.2,443.4,1442.2,445.1,1.8,-,-,-,-,-,-,Binocular,23,
Trial001,Participant 11-2-unified,Coral,Participant 11,participant 11-2-recording.avi,0,2828246,6022,66,6089,1481.6,446.9,1443.1,442.6,2.3,-,-,-,-,-,-,Binocular,24,
Trial001,Participant 11-2-unified,Coral,Participant 11,participant 11-2-recording.avi,0,2828246,6156,66,6222,1416.6,440.5,1400.5,439.0,1.2,-,-,-,-,-,-,Binocular,25,
Trial001,Participant 11-2-unified,Coral,Participant 11,participant 11-2-recording.avi,0,2828246,6388,66,6455,1403.4,438.2,1346.6,438.1,3.6,-,-,-,-,-,-,Binocular,26,
Trial001,Participant 11-2-unified,Coral,Participant 11,participant 11-2-recording.avi,0,2828246,6522,99,6621,1426.7,439.1,1484.7,439.0,3.8,-,-,-,-,-,-,Binocular,27,
Trial001,Participant 11-2-unified,Coral,Participant 11,participant 11-2-recording.avi,0,2828246,6987,66,7054,1361.4,432.2,1345.7,432.2,1.0,-,-,-,-,-,-,Binocular,28,
Trial001,Participant 11-2-unified,Coral,Participant 11,participant 11-2-recording.avi,0,2828246,7353,99,7453,1316.2,434.9,1700.3,429.0,18.0,-,-,-,-,-,-,Binocular,29,
Trial001,Participant 11-2-unified,Coral,Participant 11,participant 11-2-recording.avi,0,2828246,7586,99,7686,1630.2,436.5,1527.8,434.6,5.5,-,-,-,-,-,-,Binocular,30,
Trial001,Participant 11-2-unified,Coral,Participant 11,participant 11-2-recording.avi,0,2828246,7886,66,7952,1489.4,437.3,1462.8,437.1,1.4,-,-,-,-,-,-,Binocular,31,
Trial001,Participant 11-2-unified,Coral,Participant 11,participant 11-2-recording.avi,0,2828246,8119,133,8252,1456.0,437.1,1241.1,437.9,10.9,-,-,-,-,-,-,Binocular,32,
Trial001,Participant 11-2-unified,Coral,Participant 11,participant 11-2-recording.avi,0,2828246,8452,99,8551,1304.0,437.9,1394.3,438.2,5.9,-,-,-,-,-,-,Binocular,33,
Trial001,Participant 11-2-unified,Coral,Participant 11,participant 11-2-recording.avi,0,2828246,8651,66,8718,1368.7,439.7,1387.2,442.1,1.2,-,-,-,-,-,-,Binocular,34,
Trial001,Participant 11-2-unified,Coral,Participant 11,participant 11-2-recording.avi,0,2828246,8851,132,8984,1421.5,444.6,1726.3,440.3,13.9,-,-,-,-,-,-,Binocular,35,
Trial001,Participant 11-2-unified,Coral,Participant 11,participant 11-2-recording.avi,0,2828246,9084,133,9217,1638.3,445.9,1910.4,455.9,18.7,-,-,-,-,-,-,Binocular,36,
Trial001,Participant 11-2-unified,Coral,Participant 11,participant 11-2-recording.avi,0,2828246,9250,99,9350,1872.1,457.7,1719.7,452.1,8.8,-,-,-,-,-,-,Binocular,37,
Trial001,Participant 11-2-unified,Coral,Participant 11,participant 11-2-recording.avi,0,2828246,9649,66,9716,1530.8,449.4,1543.4,450.0,0.8,-,-,-,-,-,-,Binocular,38,
Trial001,Participant 11-2-unified,Coral,Participant 11,participant 11-2-recording.avi,0,2828246,9849,66,9916,1543.4,453.6,1452.2,460.9,4.7,-,-,-,-,-,-,Binocular,39,
Trial001,Participant 11-2-unified,Coral,Participant 11,participant 11-2-recording.avi,0,2828246,9982,66,10049,1434.0,458.8,1466.7,459.9,1.9,-,-,-,-,-,-,Binocular,40,
Trial001,Participant 11-2-unified,Coral,Participant 11,participant 11-2-recording.avi,0,2828246,10115,66,10182,1466.9,456.2,1494.2,456.7,1.8,-,-,-,-,-,-,Binocular,41,
Trial001,Participant 11-2-unified,Coral,Participant 11,participant 11-2-recording.avi,0,2828246,10315,100,10415,1532.2,446.3,1499.0,444.0,5.6,-,-,-,-,-,-,Binocular,42,
Trial001,Participant 11-2-unified,Coral,Participant 11,participant 11-2-recording.avi,0,2828246,10681,66,10747,1447.3,450.2,1397.4,449.2,3.6,-,-,-,-,-,-,Binocular,43,
Trial001,Participant 11-2-unified,Coral,Participant 11,participant 11-2-recording.avi,0,2828246,10881,66,10947,1429.2,448.2,1401.0,445.8,2.4,-,-,-,-,-,-,Binocular,44,
Trial001,Participant 11-2-unified,Coral,Participant 11,participant 11-2-recording.avi,0,2828246,11080,199,11280,1448.5,443.1,1596.0,446.5,14.0,-,-,-,-,-,-,Binocular,45,
