Trial,Subject,Color,Stimulus,Start Time [ms],End Time [ms],Fixation Start [ms],Fixation Duration [ms],Fixation End [ms],Position X,Position Y,Average Pupil Size [px] X,Average Pupil Size [px] Y,Average Pupil Diameter [mm],Dispersion X,Dispersion Y,Eye,Number,
Trial001,roland3,CornflowerBlue,roland3-1-recording.avi,0,2689599,992,232,1224,724.9,318.4,64.1,54.6,2.6,7.0,58.0,Binocular,1,
Trial001,roland3,CornflowerBlue,roland3-1-recording.avi,0,2689599,1358,99,1457,1637.7,387.2,49.8,56.2,2.9,9.0,2.0,Binocular,2,
Trial001,roland3,CornflowerBlue,roland3-1-recording.avi,0,2689599,2557,97,2655,1542.0,354.1,52.5,58.0,2.9,4.0,0.0,Binocular,3,
Trial001,roland3,CornflowerBlue,roland3-1-recording.avi,0,2689599,2722,466,3188,1441.6,391.6,56.0,61.6,2.8,14.0,5.0,Binocular,4,
Trial001,roland3,CornflowerBlue,roland3-1-recording.avi,0,2689599,3287,99,3387,1679.3,289.7,52.7,58.8,3.0,12.0,5.0,Binocular,5,
Trial001,roland3,CornflowerBlue,roland3-1-recording.avi,0,2689599,3520,100,3621,1996.2,212.1,47.8,49.8,3.7,5.0,3.0,Binocular,6,
Trial001,roland3,CornflowerBlue,roland3-1-recording.avi,0,2689599,4119,133,4252,735.0,261.5,62.1,52.9,2.6,0.0,9.0,Binocular,7,
Trial001,roland3,CornflowerBlue,roland3-1-recording.avi,0,2689599,4352,2429,6782,746.2,228.3,57.6,47.9,2.4,19.0,14.0,Binocular,8,
Trial001,roland3,CornflowerBlue,roland3-1-recording.avi,0,2689599,6854,98,6953,589.9,368.4,58.7,52.8,2.4,5.0,1.0,Binocular,9,
Trial001,roland3,CornflowerBlue,roland3-1-recording.avi,0,2689599,7016,197,7214,549.6,399.9,59.9,55.2,2.4,2.0,3.0,Binocular,10,
Trial001,roland3,CornflowerBlue,roland3-1-recording.avi,0,2689599,7280,1896,9177,552.0,394.3,58.6,53.5,2.3,12.0,9.0,Binocular,11,
Trial001,roland3,CornflowerBlue,roland3-1-recording.avi,0,2689599,9277,1032,10309,535.5,396.0,59.6,54.3,2.4,9.0,10.0,Binocular,12,
Trial001,roland3,CornflowerBlue,roland3-1-recording.avi,0,2689599,10408,1458,11866,681.1,525.4,59.5,57.3,2.3,17.0,24.0,Binocular,13,
Trial001,roland3,CornflowerBlue,roland3-1-recording.avi,0,2689599,11922,1006,12928,669.7,516.2,60.0,58.0,2.3,4.0,4.0,Binocular,14,
