Trial,Subject,Color,Stimulus,Start Time [ms],End Time [ms],Saccade Start [ms],Saccade Duration [ms],Saccade End [ms],StartPosition X,StartPosition Y,EndPosition X,EndPosition Y,Amplitude [°],Acceleration  Average [°/s²],Acceleration  Peak [°/s²],Deceleration  Peak [°/s²],Velocity  Average [°/s],Velocity  Peak [°/s],Peak Velocity at [%],Eye,Number,
Trial001,roland3,CornflowerBlue,roland3-1-recording.avi,0,2689599,1258,66,1324,741.0,290.0,1178.7,342.7,21.0,-,-,-,-,-,-,Binocular,1,
Trial001,roland3,CornflowerBlue,roland3-1-recording.avi,0,2689599,1757,66,1823,1871.9,356.3,1917.0,378.3,4.2,-,-,-,-,-,-,Binocular,2,
Trial001,roland3,CornflowerBlue,roland3-1-recording.avi,0,2689599,2655,66,2722,1540.6,355.6,1475.7,370.4,3.2,-,-,-,-,-,-,Binocular,3,
Trial001,roland3,CornflowerBlue,roland3-1-recording.avi,0,2689599,3188,99,3287,1449.9,393.8,1659.6,282.8,35.4,-,-,-,-,-,-,Binocular,4,
Trial001,roland3,CornflowerBlue,roland3-1-recording.avi,0,2689599,3387,66,3454,1688.4,294.5,1645.4,292.3,2.4,-,-,-,-,-,-,Binocular,5,
Trial001,roland3,CornflowerBlue,roland3-1-recording.avi,0,2689599,3454,66,3520,1644.6,289.5,1955.8,237.0,14.7,-,-,-,-,-,-,Binocular,6,
Trial001,roland3,CornflowerBlue,roland3-1-recording.avi,0,2689599,3621,65,3687,2032.5,220.3,1996.3,212.7,3.3,-,-,-,-,-,-,Binocular,7,
Trial001,roland3,CornflowerBlue,roland3-1-recording.avi,0,2689599,4021,98,4119,682.7,308.7,734.8,267.0,11.0,-,-,-,-,-,-,Binocular,8,
Trial001,roland3,CornflowerBlue,roland3-1-recording.avi,0,2689599,4252,99,4352,734.8,255.0,735.5,235.7,2.7,-,-,-,-,-,-,Binocular,9,
Trial001,roland3,CornflowerBlue,roland3-1-recording.avi,0,2689599,6782,72,6854,735.9,230.8,633.0,325.6,6.9,-,-,-,-,-,-,Binocular,10,
Trial001,roland3,CornflowerBlue,roland3-1-recording.avi,0,2689599,6953,63,7016,585.1,369.5,553.6,395.6,2.2,-,-,-,-,-,-,Binocular,11,
Trial001,roland3,CornflowerBlue,roland3-1-recording.avi,0,2689599,7214,66,7280,550.9,399.0,557.7,398.8,0.5,-,-,-,-,-,-,Binocular,12,
Trial001,roland3,CornflowerBlue,roland3-1-recording.avi,0,2689599,9177,99,9277,550.5,397.0,538.5,390.7,2.7,-,-,-,-,-,-,Binocular,13,
Trial001,roland3,CornflowerBlue,roland3-1-recording.avi,0,2689599,10309,98,10408,532.0,398.2,684.3,537.6,29.0,-,-,-,-,-,-,Binocular,14,
